onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
38.7304687500	n/a	stimulus	n/a	9915.0000000000	128	1	MW_question	30.1000	stimulus_value_128_is_MW_prompt_in_EEG
43.1132812500	n/a	response	n/a	11037.0000000000	2	1	key_status_1	34.4000	aligned_by_order
46.6640625000	n/a	response	n/a	11946.0000000000	2	1	key_status_2	38.0000	aligned_by_order
50.3398437500	n/a	response	n/a	12887.0000000000	2	1	key_status_3	41.6000	aligned_by_order
121.3437500000	n/a	stimulus	n/a	31064.0000000000	128	2	MW_question	112.7000	stimulus_value_128_is_MW_prompt_in_EEG
124.6132812500	n/a	response	n/a	31901.0000000000	4	2	key_status_1	115.9000	aligned_by_order
135.4570312500	n/a	response	n/a	34677.0000000000	2	2	key_status_2	126.8000	aligned_by_order
153.0546875000	n/a	stimulus	n/a	39182.0000000000	128	3	MW_question	144.4000	stimulus_value_128_is_MW_prompt_in_EEG
157.2265625000	n/a	response	n/a	40250.0000000000	4	3	key_status_1	148.5000	aligned_by_order
263.8281250000	n/a	stimulus	n/a	67540.0000000000	128	4	MW_question	255.1000	stimulus_value_128_is_MW_prompt_in_EEG
267.8789062500	n/a	response	n/a	68577.0000000000	4	4	key_status_1	259.2000	aligned_by_order
270.8867187500	n/a	response	n/a	69347.0000000000	2	4	key_status_2	262.2000	aligned_by_order
326.0898437500	n/a	stimulus	n/a	83479.0000000000	128	5	MW_question	317.4000	stimulus_value_128_is_MW_prompt_in_EEG
330.4726562500	n/a	response	n/a	84601.0000000000	8	5	key_status_1	321.8000	aligned_by_order
333.8164062500	n/a	response	n/a	85457.0000000000	2	5	key_status_2	325.1000	aligned_by_order
418.4453125000	n/a	stimulus	n/a	107122.0000000000	128	6	MW_question	409.8000	stimulus_value_128_is_MW_prompt_in_EEG
421.1367187500	n/a	response	n/a	107811.0000000000	4	6	key_status_1	412.4000	aligned_by_order
424.6718750000	n/a	response	n/a	108716.0000000000	4	6	key_status_2	416.0000	aligned_by_order
440.8242187500	n/a	stimulus	n/a	112851.0000000000	128	7	MW_question	432.1000	stimulus_value_128_is_MW_prompt_in_EEG
443.8125000000	n/a	response	n/a	113616.0000000000	4	7	key_status_1	435.1000	aligned_by_order
603.6445312500	n/a	stimulus	n/a	154533.0000000000	128	8	MW_question	594.9000	stimulus_value_128_is_MW_prompt_in_EEG
612.7460937500	n/a	response	n/a	156863.0000000000	4	8	key_status_1	604.0000	aligned_by_order
615.1093750000	n/a	response	n/a	157468.0000000000	2	8	key_status_2	606.4000	aligned_by_order
680.5937500000	n/a	stimulus	n/a	174232.0000000000	128	9	MW_question	671.9000	stimulus_value_128_is_MW_prompt_in_EEG
683.2187500000	n/a	response	n/a	174904.0000000000	4	9	key_status_1	674.5000	aligned_by_order
686.7539062500	n/a	response	n/a	175809.0000000000	2	9	key_status_2	678.0000	aligned_by_order
723.4375000000	n/a	stimulus	n/a	185200.0000000000	128	10	MW_question	714.7000	stimulus_value_128_is_MW_prompt_in_EEG
727.3906250000	n/a	response	n/a	186212.0000000000	4	10	key_status_1	718.6000	aligned_by_order
730.3984375000	n/a	response	n/a	186982.0000000000	2	10	key_status_2	721.6000	aligned_by_order
847.5703125000	n/a	stimulus	n/a	216978.0000000000	128	11	MW_question	838.8000	stimulus_value_128_is_MW_prompt_in_EEG
850.1914062500	n/a	response	n/a	217649.0000000000	4	11	key_status_1	841.5000	aligned_by_order
900.5234375000	n/a	stimulus	n/a	230534.0000000000	128	12	MW_question	891.8000	stimulus_value_128_is_MW_prompt_in_EEG
905.3945312500	n/a	response	n/a	231781.0000000000	4	12	key_status_1	896.6000	aligned_by_order
908.6992187500	n/a	response	n/a	232627.0000000000	2	12	key_status_2	900.0000	aligned_by_order
928.8554687500	n/a	stimulus	n/a	237787.0000000000	128	13	MW_question	920.1000	stimulus_value_128_is_MW_prompt_in_EEG
932.4179687500	n/a	response	n/a	238699.0000000000	8	13	key_status_1	923.7000	aligned_by_order
1050.8632812500	n/a	stimulus	n/a	269021.0000000000	128	14	MW_question	1042.1000	stimulus_value_128_is_MW_prompt_in_EEG
1053.4648437500	n/a	response	n/a	269687.0000000000	8	14	key_status_1	1044.7000	aligned_by_order
1057.6953125000	n/a	response	n/a	270770.0000000000	2	14	key_status_2	1048.9000	aligned_by_order
1159.4726562500	n/a	stimulus	n/a	296825.0000000000	128	15	MW_question	1150.7000	stimulus_value_128_is_MW_prompt_in_EEG
1162.1250000000	n/a	response	n/a	297504.0000000000	8	15	key_status_1	1153.3000	aligned_by_order
1164.3359375000	n/a	response	n/a	298070.0000000000	4	15	key_status_2	1155.5000	aligned_by_order
1283.6953125000	n/a	stimulus	n/a	328626.0000000000	128	16	MW_question	1274.9000	stimulus_value_128_is_MW_prompt_in_EEG
1287.7304687500	n/a	response	n/a	329659.0000000000	4	16	key_status_1	1278.9000	aligned_by_order
1290.5312500000	n/a	response	n/a	330376.0000000000	4	16	key_status_2	1281.7000	aligned_by_order
1383.8203125000	n/a	stimulus	n/a	354258.0000000000	128	17	MW_question	1375.1000	stimulus_value_128_is_MW_prompt_in_EEG
1386.4570312500	n/a	response	n/a	354933.0000000000	4	17	key_status_1	1377.6000	aligned_by_order
