onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
100.6601562500	n/a	stimulus	n/a	25769.0000000000	128	1	MW_question	83.1000	stimulus_value_128_is_MW_prompt_in_EEG
105.8046875000	n/a	response	n/a	27086.0000000000	4	1	key_status_1	88.2000	aligned_by_order
108.2031250000	n/a	response	n/a	27700.0000000000	2	1	key_status_2	90.6000	aligned_by_order
241.5664062500	n/a	stimulus	n/a	61841.0000000000	128	2	MW_question	224.0000	stimulus_value_128_is_MW_prompt_in_EEG
244.7929687500	n/a	response	n/a	62667.0000000000	8	2	key_status_1	227.1000	aligned_by_order
278.1054687500	n/a	stimulus	n/a	71195.0000000000	128	3	MW_question	260.5000	stimulus_value_128_is_MW_prompt_in_EEG
281.4140625000	n/a	response	n/a	72042.0000000000	8	3	key_status_1	263.8000	aligned_by_order
409.2265625000	n/a	stimulus	n/a	104762.0000000000	128	4	MW_question	391.6000	stimulus_value_128_is_MW_prompt_in_EEG
412.3476562500	n/a	response	n/a	105561.0000000000	8	4	key_status_1	394.7000	aligned_by_order
451.8046875000	n/a	stimulus	n/a	115662.0000000000	128	5	MW_question	434.2000	stimulus_value_128_is_MW_prompt_in_EEG
454.8710937500	n/a	response	n/a	116447.0000000000	8	5	key_status_1	437.2000	aligned_by_order
499.6171875000	n/a	stimulus	n/a	127902.0000000000	128	6	MW_question	482.0000	stimulus_value_128_is_MW_prompt_in_EEG
502.2890625000	n/a	response	n/a	128586.0000000000	8	6	key_status_1	484.7000	aligned_by_order
554.8984375000	n/a	stimulus	n/a	142054.0000000000	128	7	MW_question	537.3000	stimulus_value_128_is_MW_prompt_in_EEG
557.5273437500	n/a	response	n/a	142727.0000000000	8	7	key_status_1	539.9000	aligned_by_order
659.9531250000	n/a	stimulus	n/a	168948.0000000000	128	8	MW_question	642.3000	stimulus_value_128_is_MW_prompt_in_EEG
663.0859375000	n/a	response	n/a	169750.0000000000	8	8	key_status_1	645.4000	aligned_by_order
819.6835937500	n/a	stimulus	n/a	209839.0000000000	128	9	MW_question	802.0000	stimulus_value_128_is_MW_prompt_in_EEG
822.9648437500	n/a	response	n/a	210679.0000000000	8	9	key_status_1	805.3000	aligned_by_order
867.9921875000	n/a	stimulus	n/a	222206.0000000000	128	10	MW_question	850.3000	stimulus_value_128_is_MW_prompt_in_EEG
871.5468750000	n/a	response	n/a	223116.0000000000	8	10	key_status_1	853.9000	aligned_by_order
930.5273437500	n/a	stimulus	n/a	238215.0000000000	128	11	MW_question	912.9000	stimulus_value_128_is_MW_prompt_in_EEG
933.4570312500	n/a	response	n/a	238965.0000000000	8	11	key_status_1	915.8000	aligned_by_order
1012.8867187500	n/a	stimulus	n/a	259299.0000000000	128	12	MW_question	995.2000	stimulus_value_128_is_MW_prompt_in_EEG
1017.9140625000	n/a	response	n/a	260586.0000000000	8	12	key_status_1	1000.2000	aligned_by_order
1061.8125000000	n/a	stimulus	n/a	271824.0000000000	128	13	MW_question	1044.1000	stimulus_value_128_is_MW_prompt_in_EEG
1067.9570312500	n/a	response	n/a	273397.0000000000	8	13	key_status_1	1050.3000	aligned_by_order
1220.2539062500	n/a	stimulus	n/a	312385.0000000000	128	14	MW_question	1202.6000	stimulus_value_128_is_MW_prompt_in_EEG
1223.3828125000	n/a	response	n/a	313186.0000000000	4	14	key_status_1	1205.7000	aligned_by_order
1225.9492187500	n/a	response	n/a	313843.0000000000	2	14	key_status_2	1208.3000	aligned_by_order
1323.4140625000	n/a	stimulus	n/a	338794.0000000000	128	15	MW_question	1305.7000	stimulus_value_128_is_MW_prompt_in_EEG
1328.9140625000	n/a	response	n/a	340202.0000000000	4	15	key_status_1	1311.2000	aligned_by_order
1332.4140625000	n/a	response	n/a	341098.0000000000	2	15	key_status_2	1314.7000	aligned_by_order
1395.3593750000	n/a	stimulus	n/a	357212.0000000000	128	16	MW_question	1377.7000	stimulus_value_128_is_MW_prompt_in_EEG
1400.1601562500	n/a	response	n/a	358441.0000000000	4	16	key_status_1	1382.5000	aligned_by_order
1403.8398437500	n/a	response	n/a	359383.0000000000	2	16	key_status_2	1386.1000	aligned_by_order
1505.2070312500	n/a	stimulus	n/a	385333.0000000000	128	17	MW_question	1487.5000	stimulus_value_128_is_MW_prompt_in_EEG
1508.4921875000	n/a	response	n/a	386174.0000000000	4	17	key_status_1	1490.8000	aligned_by_order
1510.7695312500	n/a	response	n/a	386757.0000000000	2	17	key_status_2	1493.1000	aligned_by_order
1546.9687500000	n/a	stimulus	n/a	396024.0000000000	128	18	MW_question	1529.3000	stimulus_value_128_is_MW_prompt_in_EEG
1549.9687500000	n/a	response	n/a	396792.0000000000	8	18	key_status_1	1532.3000	aligned_by_order
1667.5468750000	n/a	stimulus	n/a	426892.0000000000	128	19	MW_question	1649.8000	stimulus_value_128_is_MW_prompt_in_EEG
1670.6953125000	n/a	response	n/a	427698.0000000000	8	19	key_status_1	1653.0000	aligned_by_order
1728.1523437500	n/a	stimulus	n/a	442407.0000000000	128	20	MW_question	1710.4000	stimulus_value_128_is_MW_prompt_in_EEG
1730.7929687500	n/a	response	n/a	443083.0000000000	8	20	key_status_1	1713.1000	aligned_by_order
1862.7460937500	n/a	stimulus	n/a	476863.0000000000	128	21	MW_question	1845.0000	stimulus_value_128_is_MW_prompt_in_EEG
1868.1132812500	n/a	response	n/a	478237.0000000000	8	21	key_status_1	1850.4000	aligned_by_order
1919.7968750000	n/a	stimulus	n/a	491468.0000000000	128	22	MW_question	1902.1000	stimulus_value_128_is_MW_prompt_in_EEG
1923.1093750000	n/a	response	n/a	492316.0000000000	4	22	key_status_1	1905.3000	aligned_by_order
1925.5429687500	n/a	response	n/a	492939.0000000000	2	22	key_status_2	1907.8000	aligned_by_order
1977.2890625000	n/a	stimulus	n/a	506186.0000000000	128	23	MW_question	1959.6000	stimulus_value_128_is_MW_prompt_in_EEG
1980.3984375000	n/a	response	n/a	506982.0000000000	4	23	key_status_1	1962.6000	aligned_by_order
1983.0585937500	n/a	response	n/a	507663.0000000000	2	23	key_status_2	1965.3000	aligned_by_order
2105.4257812500	n/a	stimulus	n/a	538989.0000000000	128	24	MW_question	2087.7000	stimulus_value_128_is_MW_prompt_in_EEG
2108.2929687500	n/a	response	n/a	539723.0000000000	8	24	key_status_1	2090.5000	aligned_by_order
2229.7734375000	n/a	stimulus	n/a	570822.0000000000	128	25	MW_question	2212.0000	stimulus_value_128_is_MW_prompt_in_EEG
2232.6835937500	n/a	response	n/a	571567.0000000000	4	25	key_status_1	2214.9000	aligned_by_order
2234.9648437500	n/a	response	n/a	572151.0000000000	2	25	key_status_2	2217.2000	aligned_by_order
2270.2265625000	n/a	stimulus	n/a	581178.0000000000	128	26	MW_question	2252.5000	stimulus_value_128_is_MW_prompt_in_EEG
2274.4296875000	n/a	response	n/a	582254.0000000000	4	26	key_status_1	2256.7000	aligned_by_order
2276.5898437500	n/a	response	n/a	582807.0000000000	2	26	key_status_2	2258.9000	aligned_by_order
2353.8437500000	n/a	stimulus	n/a	602584.0000000000	128	27	MW_question	2336.1000	stimulus_value_128_is_MW_prompt_in_EEG
2356.6601562500	n/a	response	n/a	603305.0000000000	4	27	key_status_1	2338.9000	aligned_by_order
2358.8945312500	n/a	response	n/a	603877.0000000000	2	27	key_status_2	2341.1000	aligned_by_order
2379.0742187500	n/a	stimulus	n/a	609043.0000000000	128	28	MW_question	2361.3000	stimulus_value_128_is_MW_prompt_in_EEG
2381.7695312500	n/a	response	n/a	609733.0000000000	4	28	key_status_1	2364.0000	aligned_by_order
2383.9257812500	n/a	response	n/a	610285.0000000000	2	28	key_status_2	2366.2000	aligned_by_order
2386.1875000000	n/a	response	n/a	610864.0000000000	2	28	key_status_3	2368.4000	aligned_by_order
2426.1875000000	n/a	stimulus	n/a	621104.0000000000	128	29	MW_question	2408.4000	stimulus_value_128_is_MW_prompt_in_EEG
2432.1992187500	n/a	response	n/a	622643.0000000000	4	29	key_status_1	2414.4000	aligned_by_order
2434.6054687500	n/a	response	n/a	623259.0000000000	2	29	key_status_2	2416.8000	aligned_by_order
2437.1601562500	n/a	response	n/a	623913.0000000000	2	29	key_status_3	2419.3000	aligned_by_order
2518.1640625000	n/a	stimulus	n/a	644650.0000000000	128	30	MW_question	2500.4000	stimulus_value_128_is_MW_prompt_in_EEG
2521.6484375000	n/a	response	n/a	645542.0000000000	4	30	key_status_1	2503.9000	aligned_by_order
2524.0898437500	n/a	response	n/a	646167.0000000000	2	30	key_status_2	2506.3000	aligned_by_order
2526.3593750000	n/a	response	n/a	646748.0000000000	2	30	key_status_3	2508.6000	aligned_by_order
