onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
168.6210937500	n/a	stimulus	n/a	43167.0000000000	128	1	MW_question	155.1000	stimulus_value_128_is_MW_prompt_in_EEG
171.4570312500	n/a	response	n/a	43893.0000000000	2	1	key_status_1	157.9000	aligned_by_order
174.4335937500	n/a	response	n/a	44655.0000000000	4	1	key_status_2	160.9000	aligned_by_order
176.6367187500	n/a	response	n/a	45219.0000000000	2	1	key_status_3	163.1000	aligned_by_order
193.6367187500	n/a	stimulus	n/a	49571.0000000000	128	2	MW_question	180.1000	stimulus_value_128_is_MW_prompt_in_EEG
197.0859375000	n/a	response	n/a	50454.0000000000	4	2	key_status_1	183.5000	aligned_by_order
199.2890625000	n/a	response	n/a	51018.0000000000	2	2	key_status_2	185.7000	aligned_by_order
201.6601562500	n/a	response	n/a	51625.0000000000	2	2	key_status_3	188.1000	aligned_by_order
263.6562500000	n/a	stimulus	n/a	67496.0000000000	128	3	MW_question	250.1000	stimulus_value_128_is_MW_prompt_in_EEG
267.5703125000	n/a	response	n/a	68498.0000000000	2	3	key_status_1	254.0000	aligned_by_order
270.3750000000	n/a	response	n/a	69216.0000000000	4	3	key_status_2	256.8000	aligned_by_order
272.5585937500	n/a	response	n/a	69775.0000000000	2	3	key_status_3	259.0000	aligned_by_order
326.5546875000	n/a	stimulus	n/a	83598.0000000000	128	4	MW_question	313.0000	stimulus_value_128_is_MW_prompt_in_EEG
329.1914062500	n/a	response	n/a	84273.0000000000	4	4	key_status_1	315.6000	aligned_by_order
331.3007812500	n/a	response	n/a	84813.0000000000	2	4	key_status_2	317.7000	aligned_by_order
333.4921875000	n/a	response	n/a	85374.0000000000	2	4	key_status_3	319.9000	aligned_by_order
416.4960937500	n/a	stimulus	n/a	106623.0000000000	128	5	MW_question	402.9000	stimulus_value_128_is_MW_prompt_in_EEG
419.7148437500	n/a	response	n/a	107447.0000000000	8	5	key_status_1	406.1000	aligned_by_order
422.3710937500	n/a	response	n/a	108127.0000000000	2	5	key_status_2	408.8000	aligned_by_order
424.8281250000	n/a	response	n/a	108756.0000000000	2	5	key_status_3	411.3000	aligned_by_order
462.8320312500	n/a	stimulus	n/a	118485.0000000000	128	6	MW_question	449.3000	stimulus_value_128_is_MW_prompt_in_EEG
