onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
131.1718750000	n/a	stimulus	n/a	33580.0000000000	128	1	MW_question	122.1000	stimulus_value_128_is_MW_prompt_in_EEG
140.4296875000	n/a	response	n/a	35950.0000000000	4	1	key_status_1	128.5000	txt_key0_present_in_eeg_rare
142.6015625000	n/a	response	n/a	36506.0000000000	2	1	key_status_2	131.4000	aligned_by_order
262.6093750000	n/a	stimulus	n/a	67228.0000000000	128	2	MW_question	253.5000	stimulus_value_128_is_MW_prompt_in_EEG
269.0742187500	n/a	response	n/a	68883.0000000000	4	2	key_status_1	257.8000	txt_key0_present_in_eeg_rare
271.2734375000	n/a	response	n/a	69446.0000000000	2	2	key_status_2	260.0000	aligned_by_order
361.2812500000	n/a	stimulus	n/a	92488.0000000000	128	3	MW_question	352.2000	stimulus_value_128_is_MW_prompt_in_EEG
366.5742187500	n/a	response	n/a	93843.0000000000	4	3	key_status_1	355.3000	txt_key0_present_in_eeg_rare
369.1796875000	n/a	response	n/a	94510.0000000000	2	3	key_status_2	357.5000	aligned_by_order
477.1757812500	n/a	stimulus	n/a	122157.0000000000	128	4	MW_question	468.1000	stimulus_value_128_is_MW_prompt_in_EEG
480.0117187500	n/a	response	n/a	122883.0000000000	2	4	key_status_1	470.9000	aligned_by_order
482.1992187500	n/a	response	n/a	123443.0000000000	4	4	key_status_2	473.1000	aligned_by_order
484.3750000000	n/a	response	n/a	124000.0000000000	2	4	key_status_3	475.3000	aligned_by_order
526.3789062500	n/a	stimulus	n/a	134753.0000000000	128	5	MW_question	517.3000	stimulus_value_128_is_MW_prompt_in_EEG
529.0703125000	n/a	response	n/a	135442.0000000000	2	5	key_status_1	520.0000	aligned_by_order
531.1757812500	n/a	response	n/a	135981.0000000000	4	5	key_status_2	522.1000	aligned_by_order
534.0351562500	n/a	response	n/a	136713.0000000000	2	5	key_status_3	524.9000	aligned_by_order
622.0312500000	n/a	stimulus	n/a	159240.0000000000	128	6	MW_question	612.9000	stimulus_value_128_is_MW_prompt_in_EEG
626.7812500000	n/a	response	n/a	160456.0000000000	4	6	key_status_1	615.6000	txt_key0_present_in_eeg_rare
629.0312500000	n/a	response	n/a	161032.0000000000	2	6	key_status_2	617.7000	aligned_by_order
719.0351562500	n/a	stimulus	n/a	184073.0000000000	128	7	MW_question	709.9000	stimulus_value_128_is_MW_prompt_in_EEG
721.6562500000	n/a	response	n/a	184744.0000000000	2	7	key_status_1	712.5000	aligned_by_order
723.7773437500	n/a	response	n/a	185287.0000000000	2	7	key_status_2	714.7000	aligned_by_order
725.9804687500	n/a	response	n/a	185851.0000000000	2	7	key_status_3	716.9000	aligned_by_order
746.9804687500	n/a	stimulus	n/a	191227.0000000000	128	8	MW_question	737.9000	stimulus_value_128_is_MW_prompt_in_EEG
751.8007812500	n/a	response	n/a	192461.0000000000	4	8	key_status_1	740.6000	txt_key0_present_in_eeg_rare
754.0742187500	n/a	response	n/a	193043.0000000000	2	8	key_status_2	742.7000	aligned_by_order
892.0820312500	n/a	stimulus	n/a	228373.0000000000	128	9	MW_question	883.0000	stimulus_value_128_is_MW_prompt_in_EEG
894.7539062500	n/a	response	n/a	229057.0000000000	2	9	key_status_1	885.6000	aligned_by_order
897.0625000000	n/a	response	n/a	229648.0000000000	2	9	key_status_2	887.9000	aligned_by_order
899.2851562500	n/a	response	n/a	230217.0000000000	2	9	key_status_3	890.2000	aligned_by_order
1013.2929687500	n/a	stimulus	n/a	259403.0000000000	128	10	MW_question	1004.2000	stimulus_value_128_is_MW_prompt_in_EEG
1016.2070312500	n/a	response	n/a	260149.0000000000	2	10	key_status_1	1007.0000	aligned_by_order
1018.8203125000	n/a	response	n/a	260818.0000000000	4	10	key_status_2	1009.7000	aligned_by_order
1021.0507812500	n/a	response	n/a	261389.0000000000	2	10	key_status_3	1011.9000	aligned_by_order
1156.0585937500	n/a	stimulus	n/a	295951.0000000000	128	11	MW_question	1146.9000	stimulus_value_128_is_MW_prompt_in_EEG
1158.6718750000	n/a	response	n/a	296620.0000000000	2	11	key_status_1	1149.5000	aligned_by_order
1161.0703125000	n/a	response	n/a	297234.0000000000	4	11	key_status_2	1151.9000	aligned_by_order
1163.3125000000	n/a	response	n/a	297808.0000000000	2	11	key_status_3	1154.2000	aligned_by_order
1191.3125000000	n/a	stimulus	n/a	304976.0000000000	128	12	MW_question	1182.2000	stimulus_value_128_is_MW_prompt_in_EEG
1193.9375000000	n/a	response	n/a	305648.0000000000	2	12	key_status_1	1184.8000	aligned_by_order
1196.1992187500	n/a	response	n/a	306227.0000000000	4	12	key_status_2	1187.0000	aligned_by_order
1198.3945312500	n/a	response	n/a	306789.0000000000	2	12	key_status_3	1189.3000	aligned_by_order
1338.4023437500	n/a	stimulus	n/a	342631.0000000000	128	13	MW_question	1329.3000	stimulus_value_128_is_MW_prompt_in_EEG
1343.8281250000	n/a	response	n/a	344020.0000000000	2	13	key_status_1	1332.2000	txt_key0_present_in_eeg_rare
1346.0898437500	n/a	response	n/a	344599.0000000000	2	13	key_status_2	1334.6000	aligned_by_order
1440.0859375000	n/a	stimulus	n/a	368662.0000000000	128	14	MW_question	1430.9000	stimulus_value_128_is_MW_prompt_in_EEG
1442.7148437500	n/a	response	n/a	369335.0000000000	2	14	key_status_1	1433.6000	aligned_by_order
1445.1132812500	n/a	response	n/a	369949.0000000000	4	14	key_status_2	1435.9000	aligned_by_order
1447.4179687500	n/a	response	n/a	370539.0000000000	2	14	key_status_3	1438.2000	aligned_by_order
1506.4218750000	n/a	stimulus	n/a	385644.0000000000	128	15	MW_question	1497.3000	stimulus_value_128_is_MW_prompt_in_EEG
1509.0546875000	n/a	response	n/a	386318.0000000000	2	15	key_status_1	1499.9000	aligned_by_order
1513.1914062500	n/a	response	n/a	387377.0000000000	2	15	key_status_2	1504.0000	aligned_by_order
1515.4023437500	n/a	response	n/a	387943.0000000000	2	15	key_status_3	1506.2000	aligned_by_order
1555.4062500000	n/a	stimulus	n/a	398184.0000000000	128	16	MW_question	1546.3000	stimulus_value_128_is_MW_prompt_in_EEG
1558.2460937500	n/a	response	n/a	398911.0000000000	2	16	key_status_1	1549.1000	aligned_by_order
1560.3632812500	n/a	response	n/a	399453.0000000000	4	16	key_status_2	1551.2000	aligned_by_order
1562.5625000000	n/a	response	n/a	400016.0000000000	2	16	key_status_3	1553.4000	aligned_by_order
1650.5664062500	n/a	stimulus	n/a	422545.0000000000	128	17	MW_question	1641.4000	stimulus_value_128_is_MW_prompt_in_EEG
1655.4257812500	n/a	response	n/a	423789.0000000000	2	17	key_status_1	1646.3000	aligned_by_order
1657.7773437500	n/a	response	n/a	424391.0000000000	2	17	key_status_2	1648.6000	aligned_by_order
1664.2343750000	n/a	response	n/a	426044.0000000000	2	17	key_status_3	1655.1000	aligned_by_order
1687.2343750000	n/a	stimulus	n/a	431932.0000000000	128	18	MW_question	1678.1000	stimulus_value_128_is_MW_prompt_in_EEG
1692.1250000000	n/a	response	n/a	433184.0000000000	2	18	key_status_1	1680.7000	txt_key0_present_in_eeg_rare
1695.1875000000	n/a	response	n/a	433968.0000000000	2	18	key_status_2	1682.9000	aligned_by_order
1792.1757812500	n/a	stimulus	n/a	458797.0000000000	128	19	MW_question	1783.0000	stimulus_value_128_is_MW_prompt_in_EEG
