onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
85.5312500000	n/a	stimulus	n/a	21896.0000000000	128	1	MW_question	66.1000	stimulus_value_128_is_MW_prompt_in_EEG
88.1523437500	n/a	response	n/a	22567.0000000000	2	1	key_status_1	68.7000	aligned_by_order
92.0429687500	n/a	response	n/a	23563.0000000000	4	1	key_status_2	72.6000	aligned_by_order
95.8515625000	n/a	response	n/a	24538.0000000000	4	1	key_status_3	76.3000	aligned_by_order
180.8593750000	n/a	stimulus	n/a	46300.0000000000	128	2	MW_question	161.4000	stimulus_value_128_is_MW_prompt_in_EEG
183.9023437500	n/a	response	n/a	47079.0000000000	4	2	key_status_1	164.4000	aligned_by_order
187.8906250000	n/a	response	n/a	48100.0000000000	4	2	key_status_2	168.4000	aligned_by_order
192.4375000000	n/a	response	n/a	49264.0000000000	4	2	key_status_3	172.9000	aligned_by_order
314.4453125000	n/a	stimulus	n/a	80498.0000000000	128	3	MW_question	295.0000	stimulus_value_128_is_MW_prompt_in_EEG
317.3515625000	n/a	response	n/a	81242.0000000000	4	3	key_status_1	297.8000	aligned_by_order
320.2460937500	n/a	response	n/a	81983.0000000000	2	3	key_status_2	300.7000	aligned_by_order
323.8984375000	n/a	response	n/a	82918.0000000000	2	3	key_status_3	304.4000	aligned_by_order
351.8984375000	n/a	stimulus	n/a	90086.0000000000	128	4	MW_question	332.4000	stimulus_value_128_is_MW_prompt_in_EEG
355.8437500000	n/a	response	n/a	91096.0000000000	2	4	key_status_1	336.3000	aligned_by_order
358.8203125000	n/a	response	n/a	91858.0000000000	4	4	key_status_2	339.3000	aligned_by_order
362.6523437500	n/a	response	n/a	92839.0000000000	4	4	key_status_3	343.1000	aligned_by_order
436.6484375000	n/a	stimulus	n/a	111782.0000000000	128	5	MW_question	417.2000	stimulus_value_128_is_MW_prompt_in_EEG
440.0468750000	n/a	response	n/a	112652.0000000000	4	5	key_status_1	420.5000	aligned_by_order
443.2265625000	n/a	response	n/a	113466.0000000000	2	5	key_status_2	423.7000	aligned_by_order
445.7812500000	n/a	response	n/a	114120.0000000000	2	5	key_status_3	426.3000	aligned_by_order
546.7890625000	n/a	stimulus	n/a	139978.0000000000	128	6	MW_question	527.3000	stimulus_value_128_is_MW_prompt_in_EEG
549.4335937500	n/a	response	n/a	140655.0000000000	2	6	key_status_1	529.9000	aligned_by_order
554.0625000000	n/a	response	n/a	141840.0000000000	2	6	key_status_2	534.5000	aligned_by_order
556.6289062500	n/a	response	n/a	142497.0000000000	4	6	key_status_3	537.1000	aligned_by_order
604.6328125000	n/a	stimulus	n/a	154786.0000000000	128	7	MW_question	585.1000	stimulus_value_128_is_MW_prompt_in_EEG
607.6757812500	n/a	response	n/a	155565.0000000000	2	7	key_status_1	588.2000	aligned_by_order
610.6484375000	n/a	response	n/a	156326.0000000000	4	7	key_status_2	591.1000	aligned_by_order
612.9492187500	n/a	response	n/a	156915.0000000000	4	7	key_status_3	593.4000	aligned_by_order
655.9531250000	n/a	stimulus	n/a	167924.0000000000	128	8	MW_question	636.4000	stimulus_value_128_is_MW_prompt_in_EEG
658.5781250000	n/a	response	n/a	168596.0000000000	2	8	key_status_1	639.1000	aligned_by_order
660.6835937500	n/a	response	n/a	169135.0000000000	4	8	key_status_2	641.2000	aligned_by_order
663.1601562500	n/a	response	n/a	169769.0000000000	4	8	key_status_3	643.6000	aligned_by_order
720.1640625000	n/a	stimulus	n/a	184362.0000000000	128	9	MW_question	700.7000	stimulus_value_128_is_MW_prompt_in_EEG
722.7968750000	n/a	response	n/a	185036.0000000000	2	9	key_status_1	703.3000	aligned_by_order
726.0585937500	n/a	response	n/a	185871.0000000000	4	9	key_status_2	706.5000	aligned_by_order
729.3750000000	n/a	response	n/a	186720.0000000000	4	9	key_status_3	709.8000	aligned_by_order
824.3828125000	n/a	stimulus	n/a	211042.0000000000	128	10	MW_question	804.9000	stimulus_value_128_is_MW_prompt_in_EEG
828.2539062500	n/a	response	n/a	212033.0000000000	4	10	key_status_1	808.7000	aligned_by_order
831.6992187500	n/a	response	n/a	212915.0000000000	2	10	key_status_2	812.1000	aligned_by_order
835.0429687500	n/a	response	n/a	213771.0000000000	2	10	key_status_3	815.5000	aligned_by_order
909.0507812500	n/a	stimulus	n/a	232717.0000000000	128	11	MW_question	889.5000	stimulus_value_128_is_MW_prompt_in_EEG
