onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
179.9140625000	n/a	stimulus	n/a	46058.0000000000	128	1	MW_question	135.1000	stimulus_value_128_is_MW_prompt_in_EEG
182.7031250000	n/a	response	n/a	46772.0000000000	4	1	key_status_1	137.9000	aligned_by_order
185.3281250000	n/a	response	n/a	47444.0000000000	2	1	key_status_2	140.5000	aligned_by_order
322.5664062500	n/a	stimulus	n/a	82577.0000000000	128	2	MW_question	277.7000	stimulus_value_128_is_MW_prompt_in_EEG
325.7890625000	n/a	response	n/a	83402.0000000000	4	2	key_status_1	280.9000	aligned_by_order
328.0898437500	n/a	response	n/a	83991.0000000000	2	2	key_status_2	283.2000	aligned_by_order
472.2968750000	n/a	stimulus	n/a	120908.0000000000	128	3	MW_question	427.5000	stimulus_value_128_is_MW_prompt_in_EEG
475.2851562500	n/a	response	n/a	121673.0000000000	4	3	key_status_1	430.4000	aligned_by_order
477.6796875000	n/a	response	n/a	122286.0000000000	2	3	key_status_2	432.8000	aligned_by_order
605.9101562500	n/a	stimulus	n/a	155113.0000000000	128	4	MW_question	561.1000	stimulus_value_128_is_MW_prompt_in_EEG
608.5195312500	n/a	response	n/a	155781.0000000000	4	4	key_status_1	563.7000	aligned_by_order
610.6289062500	n/a	response	n/a	156321.0000000000	4	4	key_status_2	565.8000	aligned_by_order
733.8320312500	n/a	stimulus	n/a	187861.0000000000	128	5	MW_question	689.0000	stimulus_value_128_is_MW_prompt_in_EEG
736.9531250000	n/a	response	n/a	188660.0000000000	4	5	key_status_1	692.0000	aligned_by_order
751.4648437500	n/a	response	n/a	192375.0000000000	4	5	key_status_2	706.5000	aligned_by_order
783.8515625000	n/a	stimulus	n/a	200666.0000000000	128	6	MW_question	739.0000	stimulus_value_128_is_MW_prompt_in_EEG
787.3867187500	n/a	response	n/a	201571.0000000000	2	6	key_status_1	742.5000	aligned_by_order
789.5234375000	n/a	response	n/a	202118.0000000000	4	6	key_status_2	744.6000	aligned_by_order
950.2265625000	n/a	stimulus	n/a	243258.0000000000	128	7	MW_question	905.3000	stimulus_value_128_is_MW_prompt_in_EEG
952.8437500000	n/a	response	n/a	243928.0000000000	4	7	key_status_1	907.9000	aligned_by_order
955.7539062500	n/a	response	n/a	244673.0000000000	2	7	key_status_2	910.8000	aligned_by_order
1088.2695312500	n/a	stimulus	n/a	278597.0000000000	128	8	MW_question	1043.4000	stimulus_value_128_is_MW_prompt_in_EEG
1091.5664062500	n/a	response	n/a	279441.0000000000	4	8	key_status_1	1046.7000	aligned_by_order
1094.3281250000	n/a	response	n/a	280148.0000000000	2	8	key_status_2	1049.4000	aligned_by_order
1178.5000000000	n/a	stimulus	n/a	301696.0000000000	128	9	MW_question	1133.6000	stimulus_value_128_is_MW_prompt_in_EEG
1181.1054687500	n/a	response	n/a	302363.0000000000	4	9	key_status_1	1136.2000	aligned_by_order
1183.6445312500	n/a	response	n/a	303013.0000000000	2	9	key_status_2	1138.7000	aligned_by_order
1246.6718750000	n/a	stimulus	n/a	319148.0000000000	128	10	MW_question	1201.8000	stimulus_value_128_is_MW_prompt_in_EEG
1251.8242187500	n/a	response	n/a	320467.0000000000	4	10	key_status_1	1206.9000	aligned_by_order
1254.7460937500	n/a	response	n/a	321215.0000000000	4	10	key_status_2	1209.8000	aligned_by_order
1290.0234375000	n/a	stimulus	n/a	330246.0000000000	128	11	MW_question	1245.1000	stimulus_value_128_is_MW_prompt_in_EEG
1292.6640625000	n/a	response	n/a	330922.0000000000	4	11	key_status_1	1247.7000	aligned_by_order
1294.7578125000	n/a	response	n/a	331458.0000000000	4	11	key_status_2	1249.8000	aligned_by_order
1402.2265625000	n/a	stimulus	n/a	358970.0000000000	128	12	MW_question	1357.3000	stimulus_value_128_is_MW_prompt_in_EEG
1406.8984375000	n/a	response	n/a	360166.0000000000	4	12	key_status_1	1361.9000	aligned_by_order
1409.0039062500	n/a	response	n/a	360705.0000000000	4	12	key_status_2	1364.1000	aligned_by_order
1502.3593750000	n/a	stimulus	n/a	384604.0000000000	128	13	MW_question	1457.4000	stimulus_value_128_is_MW_prompt_in_EEG
1505.3164062500	n/a	response	n/a	385361.0000000000	8	13	key_status_1	1460.4000	aligned_by_order
1514.3085937500	n/a	response	n/a	387663.0000000000	2	13	key_status_2	1469.3000	aligned_by_order
1613.5820312500	n/a	stimulus	n/a	413077.0000000000	128	14	MW_question	1568.7000	stimulus_value_128_is_MW_prompt_in_EEG
1616.1835937500	n/a	response	n/a	413743.0000000000	2	14	key_status_1	1571.2000	aligned_by_order
1619.7890625000	n/a	response	n/a	414666.0000000000	4	14	key_status_2	1574.8000	aligned_by_order
1622.3437500000	n/a	response	n/a	415320.0000000000	2	14	key_status_3	1577.4000	aligned_by_order
1763.3437500000	n/a	stimulus	n/a	451416.0000000000	128	15	MW_question	1718.4000	stimulus_value_128_is_MW_prompt_in_EEG
1767.1406250000	n/a	response	n/a	452388.0000000000	4	15	key_status_1	1722.2000	aligned_by_order
1769.5507812500	n/a	response	n/a	453005.0000000000	2	15	key_status_2	1724.6000	aligned_by_order
1772.1640625000	n/a	response	n/a	453674.0000000000	2	15	key_status_3	1727.2000	aligned_by_order
1926.1757812500	n/a	stimulus	n/a	493101.0000000000	128	16	MW_question	1881.2000	stimulus_value_128_is_MW_prompt_in_EEG
1930.7578125000	n/a	response	n/a	494274.0000000000	2	16	key_status_1	1885.8000	aligned_by_order
1933.9804687500	n/a	response	n/a	495099.0000000000	4	16	key_status_2	1889.0000	aligned_by_order
1937.1718750000	n/a	response	n/a	495916.0000000000	2	16	key_status_3	1892.2000	aligned_by_order
2065.1210937500	n/a	stimulus	n/a	528671.0000000000	128	17	MW_question	2020.2000	stimulus_value_128_is_MW_prompt_in_EEG
2068.5820312500	n/a	response	n/a	529557.0000000000	4	17	key_status_1	2023.6000	aligned_by_order
2071.1992187500	n/a	response	n/a	530227.0000000000	4	17	key_status_2	2026.2000	aligned_by_order
2171.3203125000	n/a	stimulus	n/a	555858.0000000000	128	18	MW_question	2126.4000	stimulus_value_128_is_MW_prompt_in_EEG
2175.8554687500	n/a	response	n/a	557019.0000000000	4	18	key_status_1	2130.8000	aligned_by_order
2308.1601562500	n/a	stimulus	n/a	590889.0000000000	128	19	MW_question	2263.2000	stimulus_value_128_is_MW_prompt_in_EEG
2310.7500000000	n/a	response	n/a	591552.0000000000	2	19	key_status_1	2265.8000	aligned_by_order
2312.8593750000	n/a	response	n/a	592092.0000000000	4	19	key_status_2	2267.9000	aligned_by_order
2347.5117187500	n/a	stimulus	n/a	600963.0000000000	128	20	MW_question	2302.5000	stimulus_value_128_is_MW_prompt_in_EEG
2350.1523437500	n/a	response	n/a	601639.0000000000	2	20	key_status_1	2305.2000	aligned_by_order
2353.2968750000	n/a	response	n/a	602444.0000000000	4	20	key_status_2	2308.3000	aligned_by_order
2510.5390625000	n/a	stimulus	n/a	642698.0000000000	128	21	MW_question	2465.5000	stimulus_value_128_is_MW_prompt_in_EEG
2614.5351562500	n/a	stimulus	n/a	669321.0000000000	128	22	MW_question	2569.5000	stimulus_value_128_is_MW_prompt_in_EEG
2617.1289062500	n/a	response	n/a	669985.0000000000	4	22	key_status_1	2572.1000	aligned_by_order
