onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
171.8398437500	n/a	stimulus	n/a	43991.0000000000	128	1	MW_question	119.1000	stimulus_value_128_is_MW_prompt_in_EEG
175.1835937500	n/a	response	n/a	44847.0000000000	4	1	key_status_1	122.4000	aligned_by_order
177.6015625000	n/a	response	n/a	45466.0000000000	2	1	key_status_2	124.8000	aligned_by_order
311.3789062500	n/a	stimulus	n/a	79713.0000000000	128	2	MW_question	258.6000	stimulus_value_128_is_MW_prompt_in_EEG
314.0625000000	n/a	response	n/a	80400.0000000000	4	2	key_status_1	261.3000	aligned_by_order
317.2031250000	n/a	response	n/a	81204.0000000000	2	2	key_status_2	264.4000	aligned_by_order
443.8867187500	n/a	stimulus	n/a	113635.0000000000	128	3	MW_question	391.1000	stimulus_value_128_is_MW_prompt_in_EEG
447.0703125000	n/a	response	n/a	114450.0000000000	8	3	key_status_1	394.3000	aligned_by_order
449.7343750000	n/a	response	n/a	115132.0000000000	2	3	key_status_2	397.0000	aligned_by_order
538.9179687500	n/a	stimulus	n/a	137963.0000000000	128	4	MW_question	486.1000	stimulus_value_128_is_MW_prompt_in_EEG
542.3593750000	n/a	response	n/a	138844.0000000000	4	4	key_status_1	489.6000	aligned_by_order
545.9218750000	n/a	response	n/a	139756.0000000000	2	4	key_status_2	493.1000	aligned_by_order
688.3046875000	n/a	stimulus	n/a	176206.0000000000	128	5	MW_question	635.5000	stimulus_value_128_is_MW_prompt_in_EEG
692.5195312500	n/a	response	n/a	177285.0000000000	4	5	key_status_1	639.7000	aligned_by_order
697.4570312500	n/a	response	n/a	178549.0000000000	2	5	key_status_2	644.7000	aligned_by_order
742.9843750000	n/a	stimulus	n/a	190204.0000000000	128	6	MW_question	690.2000	stimulus_value_128_is_MW_prompt_in_EEG
746.0664062500	n/a	response	n/a	190993.0000000000	8	6	key_status_1	693.2000	aligned_by_order
748.4609375000	n/a	response	n/a	191606.0000000000	2	6	key_status_2	695.7000	aligned_by_order
899.6718750000	n/a	stimulus	n/a	230316.0000000000	128	7	MW_question	846.9000	stimulus_value_128_is_MW_prompt_in_EEG
902.5625000000	n/a	response	n/a	231056.0000000000	4	7	key_status_1	849.7000	aligned_by_order
904.8945312500	n/a	response	n/a	231653.0000000000	2	7	key_status_2	852.1000	aligned_by_order
1038.1250000000	n/a	stimulus	n/a	265760.0000000000	128	8	MW_question	985.3000	stimulus_value_128_is_MW_prompt_in_EEG
1041.6171875000	n/a	response	n/a	266654.0000000000	8	8	key_status_1	988.8000	aligned_by_order
1046.1757812500	n/a	response	n/a	267821.0000000000	2	8	key_status_2	993.4000	aligned_by_order
1095.7968750000	n/a	stimulus	n/a	280524.0000000000	128	9	MW_question	1043.0000	stimulus_value_128_is_MW_prompt_in_EEG
1098.9296875000	n/a	response	n/a	281326.0000000000	4	9	key_status_1	1046.1000	aligned_by_order
1102.2851562500	n/a	response	n/a	282185.0000000000	4	9	key_status_2	1049.4000	aligned_by_order
1135.6953125000	n/a	stimulus	n/a	290738.0000000000	128	10	MW_question	1082.9000	stimulus_value_128_is_MW_prompt_in_EEG
1140.1328125000	n/a	response	n/a	291874.0000000000	4	10	key_status_1	1087.3000	aligned_by_order
1143.6523437500	n/a	response	n/a	292775.0000000000	2	10	key_status_2	1090.8000	aligned_by_order
1226.1210937500	n/a	stimulus	n/a	313887.0000000000	128	11	MW_question	1173.3000	stimulus_value_128_is_MW_prompt_in_EEG
1230.5507812500	n/a	response	n/a	315021.0000000000	8	11	key_status_1	1177.7000	aligned_by_order
1385.6953125000	n/a	stimulus	n/a	354738.0000000000	128	12	MW_question	1332.9000	stimulus_value_128_is_MW_prompt_in_EEG
1388.9804687500	n/a	response	n/a	355579.0000000000	8	12	key_status_1	1336.1000	aligned_by_order
1392.1835937500	n/a	response	n/a	356399.0000000000	2	12	key_status_2	1339.3000	aligned_by_order
1548.1875000000	n/a	stimulus	n/a	396336.0000000000	128	13	MW_question	1495.3000	stimulus_value_128_is_MW_prompt_in_EEG
1552.9531250000	n/a	response	n/a	397556.0000000000	4	13	key_status_1	1500.1000	aligned_by_order
1556.9765625000	n/a	response	n/a	398586.0000000000	4	13	key_status_2	1504.1000	aligned_by_order
1714.2656250000	n/a	stimulus	n/a	438852.0000000000	128	14	MW_question	1661.4000	stimulus_value_128_is_MW_prompt_in_EEG
1719.4101562500	n/a	response	n/a	440169.0000000000	8	14	key_status_1	1666.5000	aligned_by_order
1721.8398437500	n/a	response	n/a	440791.0000000000	2	14	key_status_2	1669.0000	aligned_by_order
1724.4609375000	n/a	response	n/a	441462.0000000000	2	14	key_status_3	1671.6000	aligned_by_order
1864.4687500000	n/a	stimulus	n/a	477304.0000000000	128	15	MW_question	1811.6000	stimulus_value_128_is_MW_prompt_in_EEG
