onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
70.9257812500	n/a	stimulus	n/a	18157.0000000000	128	1	MW_question	53.1000	stimulus_value_128_is_MW_prompt_in_EEG
76.8789062500	n/a	response	n/a	19681.0000000000	8	1	key_status_1	56.1000	txt_key0_present_in_eeg_rare
79.6601562500	n/a	response	n/a	20393.0000000000	4	1	key_status_2	59.0000	aligned_by_order
218.6718750000	n/a	stimulus	n/a	55980.0000000000	128	2	MW_question	200.8000	stimulus_value_128_is_MW_prompt_in_EEG
225.2187500000	n/a	response	n/a	57656.0000000000	4	2	key_status_1	205.0000	txt_key0_present_in_eeg_rare
227.5585937500	n/a	response	n/a	58255.0000000000	4	2	key_status_2	207.3000	aligned_by_order
330.5664062500	n/a	stimulus	n/a	84625.0000000000	128	3	MW_question	312.7000	stimulus_value_128_is_MW_prompt_in_EEG
336.7031250000	n/a	response	n/a	86196.0000000000	4	3	key_status_1	316.6000	txt_key0_present_in_eeg_rare
339.2070312500	n/a	response	n/a	86837.0000000000	4	3	key_status_2	318.8000	aligned_by_order
477.2187500000	n/a	stimulus	n/a	122168.0000000000	128	4	MW_question	459.3000	stimulus_value_128_is_MW_prompt_in_EEG
483.7031250000	n/a	response	n/a	123828.0000000000	4	4	key_status_1	463.6000	txt_key0_present_in_eeg_rare
485.9726562500	n/a	response	n/a	124409.0000000000	2	4	key_status_2	465.8000	aligned_by_order
564.9804687500	n/a	stimulus	n/a	144635.0000000000	128	5	MW_question	547.1000	stimulus_value_128_is_MW_prompt_in_EEG
571.3398437500	n/a	response	n/a	146263.0000000000	2	5	key_status_1	551.1000	txt_key0_present_in_eeg_rare
574.9023437500	n/a	response	n/a	147175.0000000000	2	5	key_status_2	553.4000	aligned_by_order
652.9101562500	n/a	stimulus	n/a	167145.0000000000	128	6	MW_question	635.0000	stimulus_value_128_is_MW_prompt_in_EEG
658.7187500000	n/a	response	n/a	168632.0000000000	4	6	key_status_1	637.6000	txt_key0_present_in_eeg_rare
661.8710937500	n/a	response	n/a	169439.0000000000	2	6	key_status_2	640.8000	aligned_by_order
780.8789062500	n/a	stimulus	n/a	199905.0000000000	128	7	MW_question	763.0000	stimulus_value_128_is_MW_prompt_in_EEG
785.9726562500	n/a	response	n/a	201209.0000000000	4	7	key_status_1	765.7000	txt_key0_present_in_eeg_rare
789.2578125000	n/a	response	n/a	202050.0000000000	2	7	key_status_2	768.0000	aligned_by_order
814.2539062500	n/a	stimulus	n/a	208449.0000000000	128	8	MW_question	796.3000	stimulus_value_128_is_MW_prompt_in_EEG
820.9843750000	n/a	response	n/a	210172.0000000000	4	8	key_status_1	799.4000	txt_key0_present_in_eeg_rare
