onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
160.8085937500	n/a	stimulus	n/a	41167.0000000000	128	1	MW_question	142.1000	stimulus_value_128_is_MW_prompt_in_EEG
163.5390625000	n/a	response	n/a	41866.0000000000	4	1	key_status_1	144.8000	aligned_by_order
167.9179687500	n/a	response	n/a	42987.0000000000	2	1	key_status_2	149.2000	aligned_by_order
325.1406250000	n/a	stimulus	n/a	83236.0000000000	128	2	MW_question	306.4000	stimulus_value_128_is_MW_prompt_in_EEG
327.9218750000	n/a	response	n/a	83948.0000000000	4	2	key_status_1	309.1000	aligned_by_order
330.3164062500	n/a	response	n/a	84561.0000000000	2	2	key_status_2	311.5000	aligned_by_order
332.5703125000	n/a	response	n/a	85138.0000000000	2	2	key_status_3	313.8000	aligned_by_order
358.5703125000	n/a	stimulus	n/a	91794.0000000000	128	3	MW_question	339.8000	stimulus_value_128_is_MW_prompt_in_EEG
361.2109375000	n/a	response	n/a	92470.0000000000	4	3	key_status_1	342.4000	aligned_by_order
537.1132812500	n/a	stimulus	n/a	137501.0000000000	128	4	MW_question	518.3000	stimulus_value_128_is_MW_prompt_in_EEG
539.7773437500	n/a	response	n/a	138183.0000000000	2	4	key_status_1	521.0000	aligned_by_order
542.0000000000	n/a	response	n/a	138752.0000000000	4	4	key_status_2	523.2000	aligned_by_order
544.5351562500	n/a	response	n/a	139401.0000000000	2	4	key_status_3	525.7000	aligned_by_order
596.5390625000	n/a	stimulus	n/a	152714.0000000000	128	5	MW_question	577.8000	stimulus_value_128_is_MW_prompt_in_EEG
599.1679687500	n/a	response	n/a	153387.0000000000	2	5	key_status_1	580.4000	aligned_by_order
603.5898437500	n/a	response	n/a	154519.0000000000	2	5	key_status_2	584.8000	aligned_by_order
605.7578125000	n/a	response	n/a	155074.0000000000	4	5	key_status_3	587.0000	aligned_by_order
704.7656250000	n/a	stimulus	n/a	180420.0000000000	128	6	MW_question	686.0000	stimulus_value_128_is_MW_prompt_in_EEG
707.4179687500	n/a	response	n/a	181099.0000000000	2	6	key_status_1	688.6000	aligned_by_order
709.6328125000	n/a	response	n/a	181666.0000000000	8	6	key_status_2	690.9000	aligned_by_order
711.8984375000	n/a	response	n/a	182246.0000000000	2	6	key_status_3	693.1000	aligned_by_order
825.9062500000	n/a	stimulus	n/a	211432.0000000000	128	7	MW_question	807.1000	stimulus_value_128_is_MW_prompt_in_EEG
829.0937500000	n/a	response	n/a	212248.0000000000	4	7	key_status_1	810.3000	aligned_by_order
831.2187500000	n/a	response	n/a	212792.0000000000	2	7	key_status_2	812.4000	aligned_by_order
833.3906250000	n/a	response	n/a	213348.0000000000	2	7	key_status_3	814.6000	aligned_by_order
973.4023437500	n/a	stimulus	n/a	249191.0000000000	128	8	MW_question	954.6000	stimulus_value_128_is_MW_prompt_in_EEG
976.0195312500	n/a	response	n/a	249861.0000000000	4	8	key_status_1	957.2000	aligned_by_order
978.1406250000	n/a	response	n/a	250404.0000000000	2	8	key_status_2	959.3000	aligned_by_order
982.0507812500	n/a	response	n/a	251405.0000000000	2	8	key_status_3	963.2000	aligned_by_order
1022.0546875000	n/a	stimulus	n/a	261646.0000000000	128	9	MW_question	1003.2000	stimulus_value_128_is_MW_prompt_in_EEG
1027.2226562500	n/a	response	n/a	262969.0000000000	8	9	key_status_1	1006.1000	txt_key0_present_in_eeg_rare
