onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
50.5507812500	n/a	stimulus	n/a	12941.0000000000	128	1	MW_question	35.1000	stimulus_value_128_is_MW_prompt_in_EEG
54.2812500000	n/a	response	n/a	13896.0000000000	2	1	key_status_1	38.8000	aligned_by_order
59.6484375000	n/a	response	n/a	15270.0000000000	8	1	key_status_2	44.2000	aligned_by_order
218.1562500000	n/a	stimulus	n/a	55848.0000000000	128	2	MW_question	202.7000	stimulus_value_128_is_MW_prompt_in_EEG
221.2656250000	n/a	response	n/a	56644.0000000000	2	2	key_status_1	205.8000	aligned_by_order
224.0195312500	n/a	response	n/a	57349.0000000000	4	2	key_status_2	208.5000	aligned_by_order
375.4335937500	n/a	stimulus	n/a	96111.0000000000	128	3	MW_question	359.9000	stimulus_value_128_is_MW_prompt_in_EEG
378.9179687500	n/a	response	n/a	97003.0000000000	2	3	key_status_1	363.4000	aligned_by_order
381.0703125000	n/a	response	n/a	97554.0000000000	4	3	key_status_2	365.6000	aligned_by_order
480.2617187500	n/a	stimulus	n/a	122947.0000000000	128	4	MW_question	464.7000	stimulus_value_128_is_MW_prompt_in_EEG
484.3007812500	n/a	response	n/a	123981.0000000000	2	4	key_status_1	468.8000	aligned_by_order
486.4843750000	n/a	response	n/a	124540.0000000000	4	4	key_status_2	471.0000	aligned_by_order
570.7500000000	n/a	stimulus	n/a	146112.0000000000	128	5	MW_question	555.2000	stimulus_value_128_is_MW_prompt_in_EEG
573.4765625000	n/a	response	n/a	146810.0000000000	2	5	key_status_1	558.0000	aligned_by_order
577.5156250000	n/a	response	n/a	147844.0000000000	4	5	key_status_2	562.0000	aligned_by_order
745.9492187500	n/a	stimulus	n/a	190963.0000000000	128	6	MW_question	730.4000	stimulus_value_128_is_MW_prompt_in_EEG
749.5976562500	n/a	response	n/a	191897.0000000000	4	6	key_status_1	734.1000	aligned_by_order
752.3789062500	n/a	response	n/a	192609.0000000000	4	6	key_status_2	736.8000	aligned_by_order
874.7617187500	n/a	stimulus	n/a	223939.0000000000	128	7	MW_question	859.2000	stimulus_value_128_is_MW_prompt_in_EEG
877.3789062500	n/a	response	n/a	224609.0000000000	4	7	key_status_1	861.8000	aligned_by_order
879.5234375000	n/a	response	n/a	225158.0000000000	2	7	key_status_2	864.0000	aligned_by_order
927.8125000000	n/a	stimulus	n/a	237520.0000000000	128	8	MW_question	912.3000	stimulus_value_128_is_MW_prompt_in_EEG
930.4609375000	n/a	response	n/a	238198.0000000000	4	8	key_status_1	914.9000	aligned_by_order
933.0585937500	n/a	response	n/a	238863.0000000000	4	8	key_status_2	917.5000	aligned_by_order
1050.6015625000	n/a	stimulus	n/a	268954.0000000000	128	9	MW_question	1035.0000	stimulus_value_128_is_MW_prompt_in_EEG
1053.2343750000	n/a	response	n/a	269628.0000000000	4	9	key_status_1	1037.7000	aligned_by_order
1055.6640625000	n/a	response	n/a	270250.0000000000	2	9	key_status_2	1040.1000	aligned_by_order
1225.7500000000	n/a	stimulus	n/a	313792.0000000000	128	10	MW_question	1210.2000	stimulus_value_128_is_MW_prompt_in_EEG
1228.6914062500	n/a	response	n/a	314545.0000000000	4	10	key_status_1	1213.1000	aligned_by_order
1230.8476562500	n/a	response	n/a	315097.0000000000	4	10	key_status_2	1215.2000	aligned_by_order
1380.1875000000	n/a	stimulus	n/a	353328.0000000000	128	11	MW_question	1364.6000	stimulus_value_128_is_MW_prompt_in_EEG
1383.2734375000	n/a	response	n/a	354118.0000000000	2	11	key_status_1	1367.7000	aligned_by_order
1385.4960937500	n/a	response	n/a	354687.0000000000	4	11	key_status_2	1369.9000	aligned_by_order
1424.7500000000	n/a	stimulus	n/a	364736.0000000000	128	12	MW_question	1409.2000	stimulus_value_128_is_MW_prompt_in_EEG
