onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
29.0781250000	n/a	stimulus	n/a	7444.0000000000	128	1	MW_question	31.1000	stimulus_value_128_is_MW_prompt_in_EEG
33.0937500000	n/a	response	n/a	8472.0000000000	2	1	key_status_1	35.1000	aligned_by_order
35.5703125000	n/a	response	n/a	9106.0000000000	4	1	key_status_2	37.5000	aligned_by_order
186.9101562500	n/a	stimulus	n/a	47849.0000000000	128	2	MW_question	188.9000	stimulus_value_128_is_MW_prompt_in_EEG
190.1367187500	n/a	response	n/a	48675.0000000000	2	2	key_status_1	192.1000	aligned_by_order
192.2773437500	n/a	response	n/a	49223.0000000000	4	2	key_status_2	194.2000	aligned_by_order
220.4921875000	n/a	stimulus	n/a	56446.0000000000	128	3	MW_question	222.5000	stimulus_value_128_is_MW_prompt_in_EEG
223.8125000000	n/a	response	n/a	57296.0000000000	8	3	key_status_1	225.8000	aligned_by_order
225.9453125000	n/a	response	n/a	57842.0000000000	8	3	key_status_2	227.9000	aligned_by_order
356.5859375000	n/a	stimulus	n/a	91286.0000000000	128	4	MW_question	358.6000	stimulus_value_128_is_MW_prompt_in_EEG
361.4101562500	n/a	response	n/a	92521.0000000000	4	4	key_status_1	363.3000	aligned_by_order
363.6054687500	n/a	response	n/a	93083.0000000000	4	4	key_status_2	365.6000	aligned_by_order
365.9804687500	n/a	response	n/a	93691.0000000000	2	4	key_status_3	367.9000	aligned_by_order
398.9804687500	n/a	stimulus	n/a	102139.0000000000	128	5	MW_question	400.9000	stimulus_value_128_is_MW_prompt_in_EEG
402.1289062500	n/a	response	n/a	102945.0000000000	2	5	key_status_1	404.0000	aligned_by_order
404.2656250000	n/a	response	n/a	103492.0000000000	4	5	key_status_2	406.2000	aligned_by_order
407.0234375000	n/a	response	n/a	104198.0000000000	2	5	key_status_3	409.0000	aligned_by_order
534.0312500000	n/a	stimulus	n/a	136712.0000000000	128	6	MW_question	536.0000	stimulus_value_128_is_MW_prompt_in_EEG
536.6367187500	n/a	response	n/a	137379.0000000000	4	6	key_status_1	538.5000	aligned_by_order
538.9726562500	n/a	response	n/a	137977.0000000000	2	6	key_status_2	540.9000	aligned_by_order
666.7968750000	n/a	stimulus	n/a	170700.0000000000	128	7	MW_question	668.7000	stimulus_value_128_is_MW_prompt_in_EEG
669.6171875000	n/a	response	n/a	171422.0000000000	2	7	key_status_1	671.5000	aligned_by_order
671.7460937500	n/a	response	n/a	171967.0000000000	8	7	key_status_2	673.7000	aligned_by_order
744.8242187500	n/a	stimulus	n/a	190675.0000000000	128	8	MW_question	746.8000	stimulus_value_128_is_MW_prompt_in_EEG
748.2890625000	n/a	response	n/a	191562.0000000000	4	8	key_status_1	750.2000	aligned_by_order
750.4765625000	n/a	response	n/a	192122.0000000000	4	8	key_status_2	752.4000	aligned_by_order
752.7382812500	n/a	response	n/a	192701.0000000000	2	8	key_status_3	754.6000	aligned_by_order
885.7460937500	n/a	stimulus	n/a	226751.0000000000	128	9	MW_question	887.7000	stimulus_value_128_is_MW_prompt_in_EEG
890.8398437500	n/a	response	n/a	228055.0000000000	8	9	key_status_1	890.6000	txt_key0_present_in_eeg_rare
893.0546875000	n/a	response	n/a	228622.0000000000	4	9	key_status_2	892.8000	aligned_by_order
1024.0625000000	n/a	stimulus	n/a	262160.0000000000	128	10	MW_question	1026.0000	stimulus_value_128_is_MW_prompt_in_EEG
1026.7226562500	n/a	response	n/a	262841.0000000000	2	10	key_status_1	1028.6000	aligned_by_order
1028.9140625000	n/a	response	n/a	263402.0000000000	4	10	key_status_2	1030.8000	aligned_by_order
1031.0898437500	n/a	response	n/a	263959.0000000000	4	10	key_status_3	1033.0000	aligned_by_order
1080.0937500000	n/a	stimulus	n/a	276504.0000000000	128	11	MW_question	1082.0000	stimulus_value_128_is_MW_prompt_in_EEG
1086.3632812500	n/a	response	n/a	278109.0000000000	8	11	key_status_1	1086.1000	txt_key0_present_in_eeg_rare
1088.6367187500	n/a	response	n/a	278691.0000000000	4	11	key_status_2	1088.3000	aligned_by_order
