onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
291.8906250000	n/a	stimulus	n/a	74724.0000000000	128	1	MW_question	277.5000	stimulus_value_128_is_MW_prompt_in_EEG
295.1367187500	n/a	response	n/a	75555.0000000000	4	1	key_status_1	280.8000	aligned_by_order
298.1953125000	n/a	response	n/a	76338.0000000000	2	1	key_status_2	283.8000	aligned_by_order
331.5156250000	n/a	stimulus	n/a	84868.0000000000	128	2	MW_question	317.2000	stimulus_value_128_is_MW_prompt_in_EEG
335.0781250000	n/a	response	n/a	85780.0000000000	2	2	key_status_1	320.7000	aligned_by_order
337.2656250000	n/a	response	n/a	86340.0000000000	2	2	key_status_2	322.9000	aligned_by_order
409.7929687500	n/a	stimulus	n/a	104907.0000000000	128	3	MW_question	395.4000	stimulus_value_128_is_MW_prompt_in_EEG
412.4414062500	n/a	response	n/a	105585.0000000000	4	3	key_status_1	398.0000	aligned_by_order
417.7500000000	n/a	response	n/a	106944.0000000000	2	3	key_status_2	401.2000	txt_key0_present_in_eeg_rare
572.7617187500	n/a	stimulus	n/a	146627.0000000000	128	4	MW_question	558.4000	stimulus_value_128_is_MW_prompt_in_EEG
575.3750000000	n/a	response	n/a	147296.0000000000	4	4	key_status_1	561.0000	aligned_by_order
579.7968750000	n/a	response	n/a	148428.0000000000	2	4	key_status_2	563.1000	txt_key0_present_in_eeg_rare
698.8085937500	n/a	stimulus	n/a	178895.0000000000	128	5	MW_question	684.4000	stimulus_value_128_is_MW_prompt_in_EEG
701.4375000000	n/a	response	n/a	179568.0000000000	2	5	key_status_1	687.0000	aligned_by_order
703.5859375000	n/a	response	n/a	180118.0000000000	2	5	key_status_2	689.2000	aligned_by_order
706.0390625000	n/a	response	n/a	180746.0000000000	2	5	key_status_3	691.6000	aligned_by_order
850.0507812500	n/a	stimulus	n/a	217613.0000000000	128	6	MW_question	835.7000	stimulus_value_128_is_MW_prompt_in_EEG
852.7148437500	n/a	response	n/a	218295.0000000000	2	6	key_status_1	838.3000	aligned_by_order
854.9101562500	n/a	response	n/a	218857.0000000000	4	6	key_status_2	840.5000	aligned_by_order
857.3164062500	n/a	response	n/a	219473.0000000000	2	6	key_status_3	842.9000	aligned_by_order
983.3242187500	n/a	stimulus	n/a	251731.0000000000	128	7	MW_question	968.9000	stimulus_value_128_is_MW_prompt_in_EEG
990.5351562500	n/a	response	n/a	253577.0000000000	4	7	key_status_1	972.8000	txt_key0_present_in_eeg_rare
992.8281250000	n/a	response	n/a	254164.0000000000	2	7	key_status_2	976.1000	aligned_by_order
1095.8320312500	n/a	stimulus	n/a	280533.0000000000	128	8	MW_question	1081.4000	stimulus_value_128_is_MW_prompt_in_EEG
1099.2773437500	n/a	response	n/a	281415.0000000000	2	8	key_status_1	1084.9000	aligned_by_order
1101.4218750000	n/a	response	n/a	281964.0000000000	4	8	key_status_2	1087.0000	aligned_by_order
1103.5937500000	n/a	response	n/a	282520.0000000000	2	8	key_status_3	1089.2000	aligned_by_order
1154.5976562500	n/a	stimulus	n/a	295577.0000000000	128	9	MW_question	1140.2000	stimulus_value_128_is_MW_prompt_in_EEG
1157.9609375000	n/a	response	n/a	296438.0000000000	2	9	key_status_1	1143.5000	aligned_by_order
1164.1484375000	n/a	response	n/a	298022.0000000000	2	9	key_status_2	1147.4000	txt_key0_present_in_eeg_rare
1289.1523437500	n/a	stimulus	n/a	330023.0000000000	128	10	MW_question	1274.7000	stimulus_value_128_is_MW_prompt_in_EEG
1296.6718750000	n/a	response	n/a	331948.0000000000	4	10	key_status_1	1279.1000	txt_key0_present_in_eeg_rare
1299.8593750000	n/a	response	n/a	332764.0000000000	2	10	key_status_2	1282.2000	aligned_by_order
