onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
135.9921875000	n/a	stimulus	n/a	34814.0000000000	128	1	MW_question	124.1000	stimulus_value_128_is_MW_prompt_in_EEG
141.8828125000	n/a	response	n/a	36322.0000000000	2	1	key_status_1	130.0000	aligned_by_order
144.9648437500	n/a	response	n/a	37111.0000000000	4	1	key_status_2	133.0000	aligned_by_order
280.1796875000	n/a	stimulus	n/a	71726.0000000000	128	2	MW_question	268.3000	stimulus_value_128_is_MW_prompt_in_EEG
285.5273437500	n/a	response	n/a	73095.0000000000	2	2	key_status_1	273.6000	aligned_by_order
289.7187500000	n/a	response	n/a	74168.0000000000	4	2	key_status_2	277.8000	aligned_by_order
408.7343750000	n/a	stimulus	n/a	104636.0000000000	128	3	MW_question	396.8000	stimulus_value_128_is_MW_prompt_in_EEG
415.3671875000	n/a	response	n/a	106334.0000000000	4	3	key_status_1	400.9000	txt_key0_present_in_eeg_rare
529.2109375000	n/a	stimulus	n/a	135478.0000000000	128	4	MW_question	517.3000	stimulus_value_128_is_MW_prompt_in_EEG
536.3046875000	n/a	response	n/a	137294.0000000000	8	4	key_status_1	521.1000	txt_key0_present_in_eeg_rare
558.8750000000	n/a	stimulus	n/a	143072.0000000000	128	5	MW_question	546.9000	stimulus_value_128_is_MW_prompt_in_EEG
568.3164062500	n/a	response	n/a	145489.0000000000	8	5	key_status_1	552.1000	txt_key0_present_in_eeg_rare
719.0703125000	n/a	stimulus	n/a	184082.0000000000	128	6	MW_question	707.1000	stimulus_value_128_is_MW_prompt_in_EEG
722.8437500000	n/a	response	n/a	185048.0000000000	2	6	key_status_1	710.8000	aligned_by_order
727.0742187500	n/a	response	n/a	186131.0000000000	2	6	key_status_2	715.1000	aligned_by_order
849.6992187500	n/a	stimulus	n/a	217523.0000000000	128	7	MW_question	837.7000	stimulus_value_128_is_MW_prompt_in_EEG
855.8593750000	n/a	response	n/a	219100.0000000000	4	7	key_status_1	843.9000	aligned_by_order
859.1328125000	n/a	response	n/a	219938.0000000000	2	7	key_status_2	847.2000	aligned_by_order
933.8046875000	n/a	stimulus	n/a	239054.0000000000	128	8	MW_question	921.8000	stimulus_value_128_is_MW_prompt_in_EEG
937.5039062500	n/a	response	n/a	240001.0000000000	4	8	key_status_1	925.5000	aligned_by_order
940.3164062500	n/a	response	n/a	240721.0000000000	2	8	key_status_2	928.3000	aligned_by_order
988.8710937500	n/a	stimulus	n/a	253151.0000000000	128	9	MW_question	976.9000	stimulus_value_128_is_MW_prompt_in_EEG
997.3046875000	n/a	response	n/a	255310.0000000000	2	9	key_status_1	985.3000	aligned_by_order
1000.1406250000	n/a	response	n/a	256036.0000000000	4	9	key_status_2	988.2000	aligned_by_order
1025.4101562500	n/a	stimulus	n/a	262505.0000000000	128	10	MW_question	1013.4000	stimulus_value_128_is_MW_prompt_in_EEG
1031.4296875000	n/a	response	n/a	264046.0000000000	2	10	key_status_1	1019.4000	aligned_by_order
1033.5820312500	n/a	response	n/a	264597.0000000000	4	10	key_status_2	1021.6000	aligned_by_order
1128.9023437500	n/a	stimulus	n/a	288999.0000000000	128	11	MW_question	1116.9000	stimulus_value_128_is_MW_prompt_in_EEG
1135.6093750000	n/a	response	n/a	290716.0000000000	2	11	key_status_1	1123.6000	aligned_by_order
1137.8007812500	n/a	response	n/a	291277.0000000000	4	11	key_status_2	1125.8000	aligned_by_order
1221.0039062500	n/a	stimulus	n/a	312577.0000000000	128	12	MW_question	1209.0000	stimulus_value_128_is_MW_prompt_in_EEG
1223.8242187500	n/a	response	n/a	313299.0000000000	4	12	key_status_1	1211.8000	aligned_by_order
1226.6757812500	n/a	response	n/a	314029.0000000000	2	12	key_status_2	1214.7000	aligned_by_order
1316.1914062500	n/a	stimulus	n/a	336945.0000000000	128	13	MW_question	1304.2000	stimulus_value_128_is_MW_prompt_in_EEG
1322.4921875000	n/a	response	n/a	338558.0000000000	2	13	key_status_1	1310.4000	aligned_by_order
1324.6171875000	n/a	response	n/a	339102.0000000000	4	13	key_status_2	1312.6000	aligned_by_order
1429.6328125000	n/a	stimulus	n/a	365986.0000000000	128	14	MW_question	1417.6000	stimulus_value_128_is_MW_prompt_in_EEG
1436.4453125000	n/a	response	n/a	367730.0000000000	4	14	key_status_1	1424.4000	aligned_by_order
1440.0312500000	n/a	response	n/a	368648.0000000000	2	14	key_status_2	1428.0000	aligned_by_order
1534.5156250000	n/a	stimulus	n/a	392836.0000000000	128	15	MW_question	1522.5000	stimulus_value_128_is_MW_prompt_in_EEG
1540.9960937500	n/a	response	n/a	394495.0000000000	4	15	key_status_1	1528.9000	aligned_by_order
1543.5195312500	n/a	response	n/a	395141.0000000000	2	15	key_status_2	1531.5000	aligned_by_order
1632.8125000000	n/a	stimulus	n/a	418000.0000000000	128	16	MW_question	1620.8000	stimulus_value_128_is_MW_prompt_in_EEG
1637.1914062500	n/a	response	n/a	419121.0000000000	2	16	key_status_1	1625.1000	aligned_by_order
1639.3750000000	n/a	response	n/a	419680.0000000000	4	16	key_status_2	1627.3000	aligned_by_order
1740.5820312500	n/a	stimulus	n/a	445589.0000000000	128	17	MW_question	1728.6000	stimulus_value_128_is_MW_prompt_in_EEG
1745.5312500000	n/a	response	n/a	446856.0000000000	4	17	key_status_1	1733.5000	aligned_by_order
1747.6601562500	n/a	response	n/a	447401.0000000000	2	17	key_status_2	1735.6000	aligned_by_order
1903.0117187500	n/a	stimulus	n/a	487171.0000000000	128	18	MW_question	1891.0000	stimulus_value_128_is_MW_prompt_in_EEG
1909.3242187500	n/a	response	n/a	488787.0000000000	4	18	key_status_1	1897.3000	aligned_by_order
1911.6523437500	n/a	response	n/a	489383.0000000000	2	18	key_status_2	1899.6000	aligned_by_order
2067.6562500000	n/a	stimulus	n/a	529320.0000000000	128	19	MW_question	2055.6000	stimulus_value_128_is_MW_prompt_in_EEG
2072.4570312500	n/a	response	n/a	530549.0000000000	4	19	key_status_1	2060.4000	aligned_by_order
2074.5781250000	n/a	response	n/a	531092.0000000000	2	19	key_status_2	2062.5000	aligned_by_order
