onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
90.0273437500	n/a	stimulus	n/a	23047.0000000000	128	1	MW_question	78.1000	stimulus_value_128_is_MW_prompt_in_EEG
93.9843750000	n/a	response	n/a	24060.0000000000	4	1	key_status_1	82.0000	aligned_by_order
96.8593750000	n/a	response	n/a	24796.0000000000	8	1	key_status_2	84.8000	aligned_by_order
100.6718750000	n/a	response	n/a	25772.0000000000	4	1	key_status_3	88.7000	aligned_by_order
189.6796875000	n/a	stimulus	n/a	48558.0000000000	128	2	MW_question	177.7000	stimulus_value_128_is_MW_prompt_in_EEG
194.8007812500	n/a	response	n/a	49869.0000000000	8	2	key_status_1	182.8000	aligned_by_order
198.5664062500	n/a	response	n/a	50833.0000000000	4	2	key_status_2	186.6000	aligned_by_order
201.8867187500	n/a	response	n/a	51683.0000000000	4	2	key_status_3	189.9000	aligned_by_order
271.8906250000	n/a	stimulus	n/a	69604.0000000000	128	3	MW_question	259.9000	stimulus_value_128_is_MW_prompt_in_EEG
275.4843750000	n/a	response	n/a	70524.0000000000	4	3	key_status_1	263.5000	aligned_by_order
277.8007812500	n/a	response	n/a	71117.0000000000	8	3	key_status_2	265.8000	aligned_by_order
281.9960937500	n/a	response	n/a	72191.0000000000	4	3	key_status_3	270.0000	aligned_by_order
333.0000000000	n/a	stimulus	n/a	85248.0000000000	128	4	MW_question	321.0000	stimulus_value_128_is_MW_prompt_in_EEG
336.1484375000	n/a	response	n/a	86054.0000000000	4	4	key_status_1	324.1000	aligned_by_order
339.0117187500	n/a	response	n/a	86787.0000000000	4	4	key_status_2	327.0000	aligned_by_order
342.6757812500	n/a	response	n/a	87725.0000000000	4	4	key_status_3	330.7000	aligned_by_order
498.6875000000	n/a	stimulus	n/a	127664.0000000000	128	5	MW_question	486.7000	stimulus_value_128_is_MW_prompt_in_EEG
502.1328125000	n/a	response	n/a	128546.0000000000	4	5	key_status_1	490.1000	aligned_by_order
504.3476562500	n/a	response	n/a	129113.0000000000	4	5	key_status_2	492.4000	aligned_by_order
506.6210937500	n/a	response	n/a	129695.0000000000	8	5	key_status_3	494.6000	aligned_by_order
556.6132812500	n/a	stimulus	n/a	142493.0000000000	128	6	MW_question	544.6000	stimulus_value_128_is_MW_prompt_in_EEG
559.9375000000	n/a	response	n/a	143344.0000000000	4	6	key_status_1	547.9000	aligned_by_order
563.2109375000	n/a	response	n/a	144182.0000000000	2	6	key_status_2	551.2000	aligned_by_order
565.6484375000	n/a	response	n/a	144806.0000000000	4	6	key_status_3	553.6000	aligned_by_order
586.6484375000	n/a	stimulus	n/a	150182.0000000000	128	7	MW_question	574.6000	stimulus_value_128_is_MW_prompt_in_EEG
591.2734375000	n/a	response	n/a	151366.0000000000	4	7	key_status_1	579.3000	aligned_by_order
594.3828125000	n/a	response	n/a	152162.0000000000	4	7	key_status_2	582.3000	aligned_by_order
597.3085937500	n/a	response	n/a	152911.0000000000	2	7	key_status_3	585.3000	aligned_by_order
709.3046875000	n/a	stimulus	n/a	181582.0000000000	128	8	MW_question	697.3000	stimulus_value_128_is_MW_prompt_in_EEG
712.1914062500	n/a	response	n/a	182321.0000000000	4	8	key_status_1	700.1000	aligned_by_order
715.7226562500	n/a	response	n/a	183225.0000000000	8	8	key_status_2	703.7000	aligned_by_order
719.9921875000	n/a	response	n/a	184318.0000000000	2	8	key_status_3	708.0000	aligned_by_order
846.9921875000	n/a	stimulus	n/a	216830.0000000000	128	9	MW_question	835.0000	stimulus_value_128_is_MW_prompt_in_EEG
850.7109375000	n/a	response	n/a	217782.0000000000	4	9	key_status_1	838.7000	aligned_by_order
853.7109375000	n/a	response	n/a	218550.0000000000	4	9	key_status_2	841.7000	aligned_by_order
857.8554687500	n/a	response	n/a	219611.0000000000	8	9	key_status_3	845.8000	aligned_by_order
1096.8398437500	n/a	stimulus	n/a	280791.0000000000	128	10	MW_question	1084.8000	stimulus_value_128_is_MW_prompt_in_EEG
1099.6523437500	n/a	response	n/a	281511.0000000000	8	10	key_status_1	1087.6000	aligned_by_order
1102.0898437500	n/a	response	n/a	282135.0000000000	2	10	key_status_2	1090.0000	aligned_by_order
1105.1914062500	n/a	response	n/a	282929.0000000000	2	10	key_status_3	1093.1000	aligned_by_order
1193.1992187500	n/a	stimulus	n/a	305459.0000000000	128	11	MW_question	1181.2000	stimulus_value_128_is_MW_prompt_in_EEG
