onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
114.5429687500	n/a	stimulus	n/a	29323.0000000000	128	1	MW_question	105.6000	stimulus_value_128_is_MW_prompt_in_EEG
117.7734375000	n/a	response	n/a	30150.0000000000	4	1	key_status_1	108.8000	aligned_by_order
121.5273437500	n/a	response	n/a	31111.0000000000	2	1	key_status_2	112.6000	aligned_by_order
273.8085937500	n/a	stimulus	n/a	70095.0000000000	128	2	MW_question	264.9000	stimulus_value_128_is_MW_prompt_in_EEG
276.5273437500	n/a	response	n/a	70791.0000000000	4	2	key_status_1	267.6000	aligned_by_order
278.9218750000	n/a	response	n/a	71404.0000000000	2	2	key_status_2	270.0000	aligned_by_order
373.3437500000	n/a	stimulus	n/a	95576.0000000000	128	3	MW_question	364.4000	stimulus_value_128_is_MW_prompt_in_EEG
376.1171875000	n/a	response	n/a	96286.0000000000	4	3	key_status_1	367.1000	aligned_by_order
378.6132812500	n/a	response	n/a	96925.0000000000	2	3	key_status_2	369.6000	aligned_by_order
409.8242187500	n/a	stimulus	n/a	104915.0000000000	128	4	MW_question	400.9000	stimulus_value_128_is_MW_prompt_in_EEG
413.0195312500	n/a	response	n/a	105733.0000000000	4	4	key_status_1	404.0000	aligned_by_order
415.5234375000	n/a	response	n/a	106374.0000000000	2	4	key_status_2	406.5000	aligned_by_order
581.8593750000	n/a	stimulus	n/a	148956.0000000000	128	5	MW_question	572.9000	stimulus_value_128_is_MW_prompt_in_EEG
584.5429687500	n/a	response	n/a	149643.0000000000	4	5	key_status_1	575.5000	aligned_by_order
587.3085937500	n/a	response	n/a	150351.0000000000	2	5	key_status_2	578.3000	aligned_by_order
589.7031250000	n/a	response	n/a	150964.0000000000	2	5	key_status_3	580.7000	aligned_by_order
649.7070312500	n/a	stimulus	n/a	166325.0000000000	128	6	MW_question	640.7000	stimulus_value_128_is_MW_prompt_in_EEG
652.7070312500	n/a	response	n/a	167093.0000000000	2	6	key_status_1	643.7000	aligned_by_order
654.8476562500	n/a	response	n/a	167641.0000000000	4	6	key_status_2	645.8000	aligned_by_order
657.1406250000	n/a	response	n/a	168228.0000000000	2	6	key_status_3	648.1000	aligned_by_order
767.1484375000	n/a	stimulus	n/a	196390.0000000000	128	7	MW_question	758.2000	stimulus_value_128_is_MW_prompt_in_EEG
770.5273437500	n/a	response	n/a	197255.0000000000	2	7	key_status_1	761.5000	aligned_by_order
772.6601562500	n/a	response	n/a	197801.0000000000	4	7	key_status_2	763.7000	aligned_by_order
775.3242187500	n/a	response	n/a	198483.0000000000	2	7	key_status_3	766.3000	aligned_by_order
926.3281250000	n/a	stimulus	n/a	237140.0000000000	128	8	MW_question	917.3000	stimulus_value_128_is_MW_prompt_in_EEG
930.2031250000	n/a	response	n/a	238132.0000000000	2	8	key_status_1	921.2000	aligned_by_order
932.3593750000	n/a	response	n/a	238684.0000000000	4	8	key_status_2	923.4000	aligned_by_order
1000.5585937500	n/a	stimulus	n/a	256143.0000000000	128	9	MW_question	991.5000	stimulus_value_128_is_MW_prompt_in_EEG
1005.5429687500	n/a	response	n/a	257419.0000000000	4	9	key_status_1	994.3000	txt_key0_present_in_eeg_rare
1008.2695312500	n/a	response	n/a	258117.0000000000	4	9	key_status_2	996.5000	aligned_by_order
1030.2695312500	n/a	stimulus	n/a	263749.0000000000	128	10	MW_question	1021.3000	stimulus_value_128_is_MW_prompt_in_EEG
1036.6835937500	n/a	response	n/a	265391.0000000000	4	10	key_status_1	1025.5000	txt_key0_present_in_eeg_rare
1038.8671875000	n/a	response	n/a	265950.0000000000	4	10	key_status_2	1027.7000	aligned_by_order
1162.8750000000	n/a	stimulus	n/a	297696.0000000000	128	11	MW_question	1153.9000	stimulus_value_128_is_MW_prompt_in_EEG
1168.1484375000	n/a	response	n/a	299046.0000000000	4	11	key_status_1	1156.5000	txt_key0_present_in_eeg_rare
1170.3945312500	n/a	response	n/a	299621.0000000000	4	11	key_status_2	1159.1000	aligned_by_order
1289.4023437500	n/a	stimulus	n/a	330087.0000000000	128	12	MW_question	1280.4000	stimulus_value_128_is_MW_prompt_in_EEG
1294.1484375000	n/a	response	n/a	331302.0000000000	8	12	key_status_1	1283.0000	txt_key0_present_in_eeg_rare
1296.3242187500	n/a	response	n/a	331859.0000000000	4	12	key_status_2	1285.1000	aligned_by_order
