onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
134.3476562500	n/a	stimulus	n/a	34393.0000000000	128	1	MW_question	125.1000	stimulus_value_128_is_MW_prompt_in_EEG
138.2187500000	n/a	response	n/a	35384.0000000000	2	1	key_status_1	128.9000	aligned_by_order
203.0195312500	n/a	stimulus	n/a	51973.0000000000	128	2	MW_question	193.7000	stimulus_value_128_is_MW_prompt_in_EEG
206.2851562500	n/a	response	n/a	52809.0000000000	2	2	key_status_1	196.9000	aligned_by_order
208.4609375000	n/a	response	n/a	53366.0000000000	2	2	key_status_2	199.1000	aligned_by_order
236.5703125000	n/a	stimulus	n/a	60562.0000000000	128	3	MW_question	227.3000	stimulus_value_128_is_MW_prompt_in_EEG
239.2343750000	n/a	response	n/a	61244.0000000000	2	3	key_status_1	229.9000	aligned_by_order
260.8984375000	n/a	stimulus	n/a	66790.0000000000	128	4	MW_question	251.6000	stimulus_value_128_is_MW_prompt_in_EEG
263.4648437500	n/a	response	n/a	67447.0000000000	2	4	key_status_1	254.1000	aligned_by_order
265.4414062500	n/a	response	n/a	67953.0000000000	2	4	key_status_2	256.1000	aligned_by_order
328.5039062500	n/a	stimulus	n/a	84097.0000000000	128	5	MW_question	319.2000	stimulus_value_128_is_MW_prompt_in_EEG
331.3320312500	n/a	response	n/a	84821.0000000000	4	5	key_status_1	322.0000	aligned_by_order
333.8046875000	n/a	response	n/a	85454.0000000000	2	5	key_status_2	324.5000	aligned_by_order
400.9531250000	n/a	stimulus	n/a	102644.0000000000	128	6	MW_question	391.6000	stimulus_value_128_is_MW_prompt_in_EEG
403.4492187500	n/a	response	n/a	103283.0000000000	4	6	key_status_1	394.1000	aligned_by_order
405.5546875000	n/a	response	n/a	103822.0000000000	2	6	key_status_2	396.2000	aligned_by_order
429.6601562500	n/a	stimulus	n/a	109993.0000000000	128	7	MW_question	420.3000	stimulus_value_128_is_MW_prompt_in_EEG
434.9062500000	n/a	response	n/a	111336.0000000000	4	7	key_status_1	425.6000	aligned_by_order
466.9453125000	n/a	stimulus	n/a	119538.0000000000	128	8	MW_question	457.6000	stimulus_value_128_is_MW_prompt_in_EEG
469.4726562500	n/a	response	n/a	120185.0000000000	4	8	key_status_1	460.1000	aligned_by_order
568.6523437500	n/a	stimulus	n/a	145575.0000000000	128	9	MW_question	559.3000	stimulus_value_128_is_MW_prompt_in_EEG
571.1718750000	n/a	response	n/a	146220.0000000000	4	9	key_status_1	561.8000	aligned_by_order
573.2031250000	n/a	response	n/a	146740.0000000000	2	9	key_status_2	563.9000	aligned_by_order
634.4414062500	n/a	stimulus	n/a	162417.0000000000	128	10	MW_question	625.1000	stimulus_value_128_is_MW_prompt_in_EEG
637.1289062500	n/a	response	n/a	163105.0000000000	4	10	key_status_1	627.8000	aligned_by_order
756.4921875000	n/a	stimulus	n/a	193662.0000000000	128	11	MW_question	747.2000	stimulus_value_128_is_MW_prompt_in_EEG
759.2382812500	n/a	response	n/a	194365.0000000000	8	11	key_status_1	749.9000	aligned_by_order
761.6054687500	n/a	response	n/a	194971.0000000000	2	11	key_status_2	752.2000	aligned_by_order
884.8789062500	n/a	stimulus	n/a	226529.0000000000	128	12	MW_question	875.5000	stimulus_value_128_is_MW_prompt_in_EEG
887.5390625000	n/a	response	n/a	227210.0000000000	8	12	key_status_1	878.2000	aligned_by_order
889.8593750000	n/a	response	n/a	227804.0000000000	2	12	key_status_2	880.5000	aligned_by_order
991.0507812500	n/a	stimulus	n/a	253709.0000000000	128	13	MW_question	981.7000	stimulus_value_128_is_MW_prompt_in_EEG
993.9335937500	n/a	response	n/a	254447.0000000000	8	13	key_status_1	984.5000	aligned_by_order
996.2304687500	n/a	response	n/a	255035.0000000000	2	13	key_status_2	986.9000	aligned_by_order
1064.7851562500	n/a	stimulus	n/a	272585.0000000000	128	14	MW_question	1055.4000	stimulus_value_128_is_MW_prompt_in_EEG
1067.4140625000	n/a	response	n/a	273258.0000000000	8	14	key_status_1	1058.1000	aligned_by_order
1119.2578125000	n/a	stimulus	n/a	286530.0000000000	128	15	MW_question	1109.9000	stimulus_value_128_is_MW_prompt_in_EEG
1122.1406250000	n/a	response	n/a	287268.0000000000	8	15	key_status_1	1112.7000	aligned_by_order
1124.5117187500	n/a	response	n/a	287875.0000000000	2	15	key_status_2	1115.1000	aligned_by_order
1261.7031250000	n/a	stimulus	n/a	322996.0000000000	128	16	MW_question	1252.3000	stimulus_value_128_is_MW_prompt_in_EEG
1264.3906250000	n/a	response	n/a	323684.0000000000	8	16	key_status_1	1255.0000	aligned_by_order
1266.5273437500	n/a	response	n/a	324231.0000000000	2	16	key_status_2	1257.2000	aligned_by_order
1298.6289062500	n/a	stimulus	n/a	332449.0000000000	128	17	MW_question	1289.3000	stimulus_value_128_is_MW_prompt_in_EEG
1301.2578125000	n/a	response	n/a	333122.0000000000	8	17	key_status_1	1291.9000	aligned_by_order
1340.6250000000	n/a	stimulus	n/a	343200.0000000000	128	18	MW_question	1331.2000	stimulus_value_128_is_MW_prompt_in_EEG
1343.2421875000	n/a	response	n/a	343870.0000000000	8	18	key_status_1	1333.9000	aligned_by_order
1345.4023437500	n/a	response	n/a	344423.0000000000	2	18	key_status_2	1336.0000	aligned_by_order
1458.6757812500	n/a	stimulus	n/a	373421.0000000000	128	19	MW_question	1449.3000	stimulus_value_128_is_MW_prompt_in_EEG
1461.4375000000	n/a	response	n/a	374128.0000000000	8	19	key_status_1	1452.1000	aligned_by_order
1463.7421875000	n/a	response	n/a	374718.0000000000	2	19	key_status_2	1454.4000	aligned_by_order
1567.9335937500	n/a	stimulus	n/a	401391.0000000000	128	20	MW_question	1558.5000	stimulus_value_128_is_MW_prompt_in_EEG
1570.9296875000	n/a	response	n/a	402158.0000000000	8	20	key_status_1	1561.5000	aligned_by_order
1736.7343750000	n/a	stimulus	n/a	444604.0000000000	128	21	MW_question	1727.3000	stimulus_value_128_is_MW_prompt_in_EEG
1739.9726562500	n/a	response	n/a	445433.0000000000	8	21	key_status_1	1730.6000	aligned_by_order
1742.2773437500	n/a	response	n/a	446023.0000000000	2	21	key_status_2	1732.8000	aligned_by_order
1814.5351562500	n/a	stimulus	n/a	464521.0000000000	128	22	MW_question	1805.1000	stimulus_value_128_is_MW_prompt_in_EEG
1817.2929687500	n/a	response	n/a	465227.0000000000	8	22	key_status_1	1807.9000	aligned_by_order
1819.4335937500	n/a	response	n/a	465775.0000000000	2	22	key_status_2	1810.0000	aligned_by_order
1891.7109375000	n/a	stimulus	n/a	484278.0000000000	128	23	MW_question	1882.3000	stimulus_value_128_is_MW_prompt_in_EEG
1894.7968750000	n/a	response	n/a	485068.0000000000	8	23	key_status_1	1885.4000	aligned_by_order
1945.4296875000	n/a	stimulus	n/a	498030.0000000000	128	24	MW_question	1936.0000	stimulus_value_128_is_MW_prompt_in_EEG
1948.0546875000	n/a	response	n/a	498702.0000000000	8	24	key_status_1	1938.6000	aligned_by_order
2065.0234375000	n/a	stimulus	n/a	528646.0000000000	128	25	MW_question	2055.6000	stimulus_value_128_is_MW_prompt_in_EEG
