onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
117.1640625000	n/a	stimulus	n/a	29994.0000000000	128	1	MW_question	1587.2000	stimulus_value_128_is_MW_prompt_in_EEG
125.8789062500	n/a	response	n/a	32225.0000000000	4	1	key_status_1	1593.8000	txt_key0_present_in_eeg_rare
214.3632812500	n/a	stimulus	n/a	54877.0000000000	128	2	MW_question	1684.4000	stimulus_value_128_is_MW_prompt_in_EEG
219.8046875000	n/a	response	n/a	56270.0000000000	2	2	key_status_1	1687.7000	txt_key0_present_in_eeg_rare
222.0078125000	n/a	response	n/a	56834.0000000000	2	2	key_status_2	1689.8000	aligned_by_order
266.0117187500	n/a	stimulus	n/a	68099.0000000000	128	3	MW_question	1736.1000	stimulus_value_128_is_MW_prompt_in_EEG
271.8828125000	n/a	response	n/a	69602.0000000000	2	3	key_status_1	1739.8000	txt_key0_present_in_eeg_rare
274.1875000000	n/a	response	n/a	70192.0000000000	2	3	key_status_2	1741.9000	aligned_by_order
329.1914062500	n/a	stimulus	n/a	84273.0000000000	128	4	MW_question	1799.3000	stimulus_value_128_is_MW_prompt_in_EEG
334.1210937500	n/a	response	n/a	85535.0000000000	4	4	key_status_1	1801.9000	txt_key0_present_in_eeg_rare
365.6093750000	n/a	stimulus	n/a	93596.0000000000	128	5	MW_question	1835.6000	stimulus_value_128_is_MW_prompt_in_EEG
368.4179687500	n/a	response	n/a	94315.0000000000	2	5	key_status_1	1838.4000	aligned_by_order
451.7773437500	n/a	stimulus	n/a	115655.0000000000	128	6	MW_question	1921.8000	stimulus_value_128_is_MW_prompt_in_EEG
455.1250000000	n/a	response	n/a	116512.0000000000	2	6	key_status_1	1925.1000	aligned_by_order
569.6171875000	n/a	stimulus	n/a	145822.0000000000	128	7	MW_question	2039.6000	stimulus_value_128_is_MW_prompt_in_EEG
572.3632812500	n/a	response	n/a	146525.0000000000	4	7	key_status_1	2042.3000	aligned_by_order
628.3750000000	n/a	stimulus	n/a	160864.0000000000	128	8	MW_question	2098.4000	stimulus_value_128_is_MW_prompt_in_EEG
631.4609375000	n/a	response	n/a	161654.0000000000	2	8	key_status_1	2101.5000	aligned_by_order
635.1093750000	n/a	response	n/a	162588.0000000000	4	8	key_status_2	2105.1000	aligned_by_order
637.4375000000	n/a	response	n/a	163184.0000000000	2	8	key_status_3	2107.4000	aligned_by_order
721.4453125000	n/a	stimulus	n/a	184690.0000000000	128	9	MW_question	2191.5000	stimulus_value_128_is_MW_prompt_in_EEG
727.3828125000	n/a	response	n/a	186210.0000000000	4	9	key_status_1	2194.2000	txt_key0_present_in_eeg_rare
729.5859375000	n/a	response	n/a	186774.0000000000	2	9	key_status_2	2197.4000	aligned_by_order
843.5937500000	n/a	stimulus	n/a	215960.0000000000	128	10	MW_question	2313.6000	stimulus_value_128_is_MW_prompt_in_EEG
849.4843750000	n/a	response	n/a	217468.0000000000	2	10	key_status_1	2317.0000	txt_key0_present_in_eeg_rare
904.6914062500	n/a	stimulus	n/a	231601.0000000000	128	11	MW_question	2374.7000	stimulus_value_128_is_MW_prompt_in_EEG
909.9804687500	n/a	response	n/a	232955.0000000000	4	11	key_status_1	2377.3000	txt_key0_present_in_eeg_rare
912.1992187500	n/a	response	n/a	233523.0000000000	2	11	key_status_2	2379.9000	aligned_by_order
1057.2109375000	n/a	stimulus	n/a	270646.0000000000	128	12	MW_question	2527.2000	stimulus_value_128_is_MW_prompt_in_EEG
1063.0039062500	n/a	response	n/a	272129.0000000000	4	12	key_status_1	2530.3000	txt_key0_present_in_eeg_rare
1065.1875000000	n/a	response	n/a	272688.0000000000	2	12	key_status_2	2533.0000	aligned_by_order
1221.1992187500	n/a	stimulus	n/a	312627.0000000000	128	13	MW_question	2691.2000	stimulus_value_128_is_MW_prompt_in_EEG
1223.8437500000	n/a	response	n/a	313304.0000000000	4	13	key_status_1	2693.8000	aligned_by_order
