onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
127.6132812500	n/a	stimulus	n/a	32669.0000000000	128	1	MW_question	110.1000	stimulus_value_128_is_MW_prompt_in_EEG
134.0507812500	n/a	response	n/a	34317.0000000000	8	1	key_status_1	114.3000	txt_key0_present_in_eeg_rare
186.5195312500	n/a	stimulus	n/a	47749.0000000000	128	2	MW_question	169.0000	stimulus_value_128_is_MW_prompt_in_EEG
192.0351562500	n/a	response	n/a	49161.0000000000	4	2	key_status_1	171.8000	txt_key0_present_in_eeg_rare
278.5507812500	n/a	stimulus	n/a	71309.0000000000	128	3	MW_question	261.0000	stimulus_value_128_is_MW_prompt_in_EEG
283.6796875000	n/a	response	n/a	72622.0000000000	4	3	key_status_1	263.7000	txt_key0_present_in_eeg_rare
400.4882812500	n/a	stimulus	n/a	102525.0000000000	128	4	MW_question	382.9000	stimulus_value_128_is_MW_prompt_in_EEG
405.1132812500	n/a	response	n/a	103709.0000000000	2	4	key_status_1	387.5000	aligned_by_order
407.2617187500	n/a	response	n/a	104259.0000000000	2	4	key_status_2	389.7000	aligned_by_order
462.4960937500	n/a	stimulus	n/a	118399.0000000000	128	5	MW_question	444.9000	stimulus_value_128_is_MW_prompt_in_EEG
466.1875000000	n/a	response	n/a	119344.0000000000	2	5	key_status_1	448.6000	aligned_by_order
468.3515625000	n/a	response	n/a	119898.0000000000	2	5	key_status_2	450.8000	aligned_by_order
615.5781250000	n/a	stimulus	n/a	157588.0000000000	128	6	MW_question	598.0000	stimulus_value_128_is_MW_prompt_in_EEG
620.6484375000	n/a	response	n/a	158886.0000000000	2	6	key_status_1	603.0000	aligned_by_order
622.8906250000	n/a	response	n/a	159460.0000000000	2	6	key_status_2	605.3000	aligned_by_order
781.1601562500	n/a	stimulus	n/a	199977.0000000000	128	7	MW_question	763.6000	stimulus_value_128_is_MW_prompt_in_EEG
784.4765625000	n/a	response	n/a	200826.0000000000	4	7	key_status_1	766.9000	aligned_by_order
787.2734375000	n/a	response	n/a	201542.0000000000	2	7	key_status_2	769.6000	aligned_by_order
886.8203125000	n/a	stimulus	n/a	227026.0000000000	128	8	MW_question	869.2000	stimulus_value_128_is_MW_prompt_in_EEG
