onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
134.3242187500	n/a	stimulus	n/a	34387.0000000000	128	1	MW_question	121.1000	stimulus_value_128_is_MW_prompt_in_EEG
138.5507812500	n/a	response	n/a	35469.0000000000	4	1	response_1	n/a	eeg_response_without_txt_key_at_this_index
141.1171875000	n/a	response	n/a	36126.0000000000	2	1	response_2	n/a	eeg_response_without_txt_key_at_this_index
251.3046875000	n/a	stimulus	n/a	64334.0000000000	128	2	MW_question	238.0000	stimulus_value_128_is_MW_prompt_in_EEG
254.8398437500	n/a	response	n/a	65239.0000000000	4	2	response_1	n/a	eeg_response_without_txt_key_at_this_index
258.2226562500	n/a	response	n/a	66105.0000000000	2	2	response_2	n/a	eeg_response_without_txt_key_at_this_index
335.5664062500	n/a	stimulus	n/a	85905.0000000000	128	3	MW_question	322.3000	stimulus_value_128_is_MW_prompt_in_EEG
338.4648437500	n/a	response	n/a	86647.0000000000	4	3	response_1	n/a	eeg_response_without_txt_key_at_this_index
341.2304687500	n/a	response	n/a	87355.0000000000	2	3	response_2	n/a	eeg_response_without_txt_key_at_this_index
505.7500000000	n/a	stimulus	n/a	129472.0000000000	128	4	MW_question	492.5000	stimulus_value_128_is_MW_prompt_in_EEG
509.9921875000	n/a	response	n/a	130558.0000000000	2	4	response_1	n/a	eeg_response_without_txt_key_at_this_index
512.9101562500	n/a	response	n/a	131305.0000000000	4	4	response_2	n/a	eeg_response_without_txt_key_at_this_index
587.2070312500	n/a	stimulus	n/a	150325.0000000000	128	5	MW_question	573.9000	stimulus_value_128_is_MW_prompt_in_EEG
591.1054687500	n/a	response	n/a	151323.0000000000	2	5	response_1	n/a	eeg_response_without_txt_key_at_this_index
593.6601562500	n/a	response	n/a	151977.0000000000	4	5	response_2	n/a	eeg_response_without_txt_key_at_this_index
664.0976562500	n/a	stimulus	n/a	170009.0000000000	128	6	MW_question	650.8000	stimulus_value_128_is_MW_prompt_in_EEG
666.7343750000	n/a	response	n/a	170684.0000000000	4	6	response_1	n/a	eeg_response_without_txt_key_at_this_index
669.1953125000	n/a	response	n/a	171314.0000000000	4	6	response_2	n/a	eeg_response_without_txt_key_at_this_index
811.8203125000	n/a	stimulus	n/a	207826.0000000000	128	7	MW_question	798.5000	stimulus_value_128_is_MW_prompt_in_EEG
815.1210937500	n/a	response	n/a	208671.0000000000	8	7	response_1	n/a	eeg_response_without_txt_key_at_this_index
903.6953125000	n/a	stimulus	n/a	231346.0000000000	128	8	MW_question	890.4000	stimulus_value_128_is_MW_prompt_in_EEG
911.8437500000	n/a	response	n/a	233432.0000000000	4	8	response_1	n/a	eeg_response_without_txt_key_at_this_index
920.3164062500	n/a	response	n/a	235601.0000000000	4	8	response_2	n/a	eeg_response_without_txt_key_at_this_index
1137.4531250000	n/a	stimulus	n/a	291188.0000000000	128	9	MW_question	1124.1000	stimulus_value_128_is_MW_prompt_in_EEG
1140.0976562500	n/a	response	n/a	291865.0000000000	4	9	response_1	n/a	eeg_response_without_txt_key_at_this_index
1142.2460937500	n/a	response	n/a	292415.0000000000	2	9	response_2	n/a	eeg_response_without_txt_key_at_this_index
1401.9609375000	n/a	stimulus	n/a	358902.0000000000	128	10	MW_question	1388.6500	stimulus_value_128_is_MW_prompt_in_EEG
1405.6406250000	n/a	response	n/a	359844.0000000000	8	10	response_1	n/a	eeg_response_without_txt_key_at_this_index
1412.1914062500	n/a	response	n/a	361521.0000000000	4	10	response_2	n/a	eeg_response_without_txt_key_at_this_index
1517.5976562500	n/a	stimulus	n/a	388505.0000000000	128	11	MW_question	1504.4500	stimulus_value_128_is_MW_prompt_in_EEG
1520.3085937500	n/a	response	n/a	389199.0000000000	4	11	response_1	n/a	eeg_response_without_txt_key_at_this_index
1523.1953125000	n/a	response	n/a	389938.0000000000	2	11	response_2	n/a	eeg_response_without_txt_key_at_this_index
1574.4218750000	n/a	stimulus	n/a	403052.0000000000	128	12	MW_question	1561.1500	stimulus_value_128_is_MW_prompt_in_EEG
1577.0546875000	n/a	response	n/a	403726.0000000000	4	12	response_1	n/a	eeg_response_without_txt_key_at_this_index
1579.2109375000	n/a	response	n/a	404278.0000000000	2	12	response_2	n/a	eeg_response_without_txt_key_at_this_index
1703.6289062500	n/a	stimulus	n/a	436129.0000000000	128	13	MW_question	1690.3500	stimulus_value_128_is_MW_prompt_in_EEG
1706.5664062500	n/a	response	n/a	436881.0000000000	4	13	response_1	n/a	eeg_response_without_txt_key_at_this_index
1708.7031250000	n/a	response	n/a	437428.0000000000	4	13	response_2	n/a	eeg_response_without_txt_key_at_this_index
2065.0000000000	n/a	stimulus	n/a	528640.0000000000	128	14	MW_question	2051.7500	stimulus_value_128_is_MW_prompt_in_EEG
2069.5117187500	n/a	response	n/a	529795.0000000000	4	14	response_1	n/a	eeg_response_without_txt_key_at_this_index
2072.1289062500	n/a	response	n/a	530465.0000000000	4	14	response_2	n/a	eeg_response_without_txt_key_at_this_index
2227.7656250000	n/a	stimulus	n/a	570308.0000000000	128	15	MW_question	2214.5500	stimulus_value_128_is_MW_prompt_in_EEG
2231.0625000000	n/a	response	n/a	571152.0000000000	8	15	response_1	n/a	eeg_response_without_txt_key_at_this_index
2233.2343750000	n/a	response	n/a	571708.0000000000	4	15	response_2	n/a	eeg_response_without_txt_key_at_this_index
2404.1562500000	n/a	stimulus	n/a	615464.0000000000	128	16	MW_question	2390.9500	stimulus_value_128_is_MW_prompt_in_EEG
2407.7695312500	n/a	response	n/a	616389.0000000000	2	16	response_1	n/a	eeg_response_without_txt_key_at_this_index
2410.9882812500	n/a	response	n/a	617213.0000000000	8	16	response_2	n/a	eeg_response_without_txt_key_at_this_index
2413.4765625000	n/a	response	n/a	617850.0000000000	4	16	response_3	n/a	eeg_response_without_txt_key_at_this_index
2499.4843750000	n/a	stimulus	n/a	639868.0000000000	128	17	MW_question	2486.2500	stimulus_value_128_is_MW_prompt_in_EEG
2506.7773437500	n/a	response	n/a	641735.0000000000	8	17	response_1	n/a	eeg_response_without_txt_key_at_this_index
2511.6679687500	n/a	response	n/a	642987.0000000000	8	17	response_2	n/a	eeg_response_without_txt_key_at_this_index
2602.6367187500	n/a	stimulus	n/a	666275.0000000000	128	18	MW_question	2589.4500	stimulus_value_128_is_MW_prompt_in_EEG
2608.6250000000	n/a	response	n/a	667808.0000000000	4	18	response_1	n/a	eeg_response_without_txt_key_at_this_index
2611.5117187500	n/a	response	n/a	668547.0000000000	2	18	response_2	n/a	eeg_response_without_txt_key_at_this_index
2697.5195312500	n/a	stimulus	n/a	690565.0000000000	128	19	MW_question	2684.2500	stimulus_value_128_is_MW_prompt_in_EEG
2700.6015625000	n/a	response	n/a	691354.0000000000	2	19	response_1	n/a	eeg_response_without_txt_key_at_this_index
2703.6328125000	n/a	response	n/a	692130.0000000000	4	19	response_2	n/a	eeg_response_without_txt_key_at_this_index
