onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
46.0000000000	n/a	stimulus	n/a	11776.0000000000	128	1	MW_question	18.1000	stimulus_value_128_is_MW_prompt_in_EEG
50.9687500000	n/a	response	n/a	13048.0000000000	2	1	key_status_1	20.9000	txt_key0_present_in_eeg_rare
183.1953125000	n/a	stimulus	n/a	46898.0000000000	128	2	MW_question	155.3000	stimulus_value_128_is_MW_prompt_in_EEG
200.4648437500	n/a	response	n/a	51319.0000000000	2	2	key_status_1	172.5000	aligned_by_order
279.2890625000	n/a	response	n/a	71498.0000000000	8	2	key_status_2	190.5000	txt_key0_present_in_eeg_rare
347.2812500000	n/a	stimulus	n/a	88904.0000000000	128	3	MW_question	319.3000	stimulus_value_128_is_MW_prompt_in_EEG
349.9531250000	n/a	response	n/a	89588.0000000000	2	3	key_status_1	321.9000	aligned_by_order
352.2656250000	n/a	response	n/a	90180.0000000000	2	3	key_status_2	324.3000	aligned_by_order
426.2773437500	n/a	stimulus	n/a	109127.0000000000	128	4	MW_question	398.3000	stimulus_value_128_is_MW_prompt_in_EEG
429.2968750000	n/a	response	n/a	109900.0000000000	4	4	key_status_1	401.3000	aligned_by_order
431.9101562500	n/a	response	n/a	110569.0000000000	2	4	key_status_2	403.9000	aligned_by_order
455.6718750000	n/a	stimulus	n/a	116652.0000000000	128	5	MW_question	427.7000	stimulus_value_128_is_MW_prompt_in_EEG
458.3203125000	n/a	response	n/a	117330.0000000000	2	5	key_status_1	430.3000	aligned_by_order
461.0546875000	n/a	response	n/a	118030.0000000000	2	5	key_status_2	433.1000	aligned_by_order
519.5742187500	n/a	stimulus	n/a	133011.0000000000	128	6	MW_question	491.6000	stimulus_value_128_is_MW_prompt_in_EEG
522.6914062500	n/a	response	n/a	133809.0000000000	4	6	key_status_1	494.7000	aligned_by_order
525.0507812500	n/a	response	n/a	134413.0000000000	2	6	key_status_2	497.1000	aligned_by_order
