onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
33.3867187500	n/a	stimulus	n/a	8547.0000000000	128	1	MW_question	20.1000	stimulus_value_128_is_MW_prompt_in_EEG
38.2929687500	n/a	response	n/a	9803.0000000000	2	1	key_status_1	25.0000	aligned_by_order
42.0664062500	n/a	response	n/a	10769.0000000000	8	1	key_status_2	28.7000	aligned_by_order
44.7031250000	n/a	response	n/a	11444.0000000000	4	1	key_status_3	31.4000	aligned_by_order
173.7148437500	n/a	stimulus	n/a	44471.0000000000	128	2	MW_question	160.4000	stimulus_value_128_is_MW_prompt_in_EEG
178.5585937500	n/a	response	n/a	45711.0000000000	4	2	key_status_1	165.2000	aligned_by_order
185.0976562500	n/a	response	n/a	47385.0000000000	8	2	key_status_2	171.7000	aligned_by_order
187.3828125000	n/a	response	n/a	47970.0000000000	4	2	key_status_3	174.0000	aligned_by_order
228.3750000000	n/a	stimulus	n/a	58464.0000000000	128	3	MW_question	215.0000	stimulus_value_128_is_MW_prompt_in_EEG
231.8828125000	n/a	response	n/a	59362.0000000000	4	3	key_status_1	218.5000	aligned_by_order
234.3125000000	n/a	response	n/a	59984.0000000000	4	3	key_status_2	220.9000	aligned_by_order
236.7148437500	n/a	response	n/a	60599.0000000000	4	3	key_status_3	223.3000	aligned_by_order
258.7187500000	n/a	stimulus	n/a	66232.0000000000	128	4	MW_question	245.4000	stimulus_value_128_is_MW_prompt_in_EEG
261.4257812500	n/a	response	n/a	66925.0000000000	4	4	key_status_1	248.1000	aligned_by_order
266.8242187500	n/a	response	n/a	68307.0000000000	4	4	key_status_2	253.5000	aligned_by_order
269.2968750000	n/a	response	n/a	68940.0000000000	4	4	key_status_3	256.0000	aligned_by_order
332.3007812500	n/a	stimulus	n/a	85069.0000000000	128	5	MW_question	319.0000	stimulus_value_128_is_MW_prompt_in_EEG
335.2382812500	n/a	response	n/a	85821.0000000000	4	5	key_status_1	321.9000	aligned_by_order
340.6406250000	n/a	response	n/a	87204.0000000000	2	5	key_status_2	327.3000	aligned_by_order
342.9179687500	n/a	response	n/a	87787.0000000000	4	5	key_status_3	329.5000	aligned_by_order
414.9257812500	n/a	stimulus	n/a	106221.0000000000	128	6	MW_question	401.6000	stimulus_value_128_is_MW_prompt_in_EEG
419.1015625000	n/a	response	n/a	107290.0000000000	4	6	key_status_1	405.7000	aligned_by_order
421.9843750000	n/a	response	n/a	108028.0000000000	2	6	key_status_2	408.6000	aligned_by_order
424.9179687500	n/a	response	n/a	108779.0000000000	4	6	key_status_3	411.5000	aligned_by_order
512.9140625000	n/a	stimulus	n/a	131306.0000000000	128	7	MW_question	499.6000	stimulus_value_128_is_MW_prompt_in_EEG
515.6796875000	n/a	response	n/a	132014.0000000000	2	7	key_status_1	502.3000	aligned_by_order
536.3281250000	n/a	response	n/a	137300.0000000000	8	7	key_status_2	522.9000	aligned_by_order
541.0585937500	n/a	response	n/a	138511.0000000000	8	7	key_status_3	527.7000	aligned_by_order
669.0703125000	n/a	stimulus	n/a	171282.0000000000	128	8	MW_question	655.7000	stimulus_value_128_is_MW_prompt_in_EEG
676.9414062500	n/a	response	n/a	173297.0000000000	4	8	key_status_1	663.5000	aligned_by_order
679.8789062500	n/a	response	n/a	174049.0000000000	4	8	key_status_2	666.5000	aligned_by_order
683.8828125000	n/a	response	n/a	175074.0000000000	8	8	key_status_3	670.5000	aligned_by_order
722.8867187500	n/a	stimulus	n/a	185059.0000000000	128	9	MW_question	709.5000	stimulus_value_128_is_MW_prompt_in_EEG
726.3164062500	n/a	response	n/a	185937.0000000000	4	9	key_status_1	712.9000	aligned_by_order
730.4726562500	n/a	response	n/a	187001.0000000000	2	9	key_status_2	717.1000	aligned_by_order
734.6484375000	n/a	response	n/a	188070.0000000000	8	9	key_status_3	721.2000	aligned_by_order
800.6523437500	n/a	stimulus	n/a	204967.0000000000	128	10	MW_question	787.3000	stimulus_value_128_is_MW_prompt_in_EEG
806.6562500000	n/a	response	n/a	206504.0000000000	8	10	key_status_1	793.2000	aligned_by_order
809.8789062500	n/a	response	n/a	207329.0000000000	4	10	key_status_2	796.5000	aligned_by_order
813.3125000000	n/a	response	n/a	208208.0000000000	4	10	key_status_3	799.9000	aligned_by_order
866.3164062500	n/a	stimulus	n/a	221777.0000000000	128	11	MW_question	852.9000	stimulus_value_128_is_MW_prompt_in_EEG
870.1718750000	n/a	response	n/a	222764.0000000000	2	11	key_status_1	856.8000	aligned_by_order
873.4960937500	n/a	response	n/a	223615.0000000000	4	11	key_status_2	860.1000	aligned_by_order
876.5625000000	n/a	response	n/a	224400.0000000000	4	11	key_status_3	863.2000	aligned_by_order
1035.5429687500	n/a	stimulus	n/a	265099.0000000000	128	12	MW_question	1022.2000	stimulus_value_128_is_MW_prompt_in_EEG
1040.8007812500	n/a	response	n/a	266445.0000000000	4	12	key_status_1	1027.4000	aligned_by_order
1044.2382812500	n/a	response	n/a	267325.0000000000	8	12	key_status_2	1030.8000	aligned_by_order
1046.4453125000	n/a	response	n/a	267890.0000000000	4	12	key_status_3	1033.0000	aligned_by_order
1100.4492187500	n/a	stimulus	n/a	281715.0000000000	128	13	MW_question	1087.1000	stimulus_value_128_is_MW_prompt_in_EEG
1105.6289062500	n/a	response	n/a	283041.0000000000	4	13	key_status_1	1092.2000	aligned_by_order
1109.3320312500	n/a	response	n/a	283989.0000000000	4	13	key_status_2	1095.9000	aligned_by_order
1126.0078125000	n/a	response	n/a	288258.0000000000	4	13	key_status_3	1112.6000	aligned_by_order
1178.0117187500	n/a	stimulus	n/a	301571.0000000000	128	14	MW_question	1164.6000	stimulus_value_128_is_MW_prompt_in_EEG
1184.2343750000	n/a	response	n/a	303164.0000000000	4	14	key_status_1	1170.8000	aligned_by_order
1188.6210937500	n/a	response	n/a	304287.0000000000	4	14	key_status_2	1175.2000	aligned_by_order
1191.8046875000	n/a	response	n/a	305102.0000000000	4	14	key_status_3	1178.4000	aligned_by_order
1244.8007812500	n/a	stimulus	n/a	318669.0000000000	128	15	MW_question	1231.4000	stimulus_value_128_is_MW_prompt_in_EEG
1249.4765625000	n/a	response	n/a	319866.0000000000	8	15	key_status_1	1236.0000	aligned_by_order
1254.1171875000	n/a	response	n/a	321054.0000000000	4	15	key_status_2	1240.7000	aligned_by_order
1257.7890625000	n/a	response	n/a	321994.0000000000	4	15	key_status_3	1244.3000	aligned_by_order
1397.8007812500	n/a	stimulus	n/a	357837.0000000000	128	16	MW_question	1384.4000	stimulus_value_128_is_MW_prompt_in_EEG
1401.5468750000	n/a	response	n/a	358796.0000000000	8	16	key_status_1	1388.1000	aligned_by_order
1403.7109375000	n/a	response	n/a	359350.0000000000	4	16	key_status_2	1390.3000	aligned_by_order
