onset	duration	trial_type	response_time	sample	value	trial_index	txt_label	txt_onset_log_s	merge_note
147.0351562500	n/a	stimulus	n/a	37641.0000000000	128	1	MW_question	137.1000	stimulus_value_128_is_MW_prompt_in_EEG
151.2226562500	n/a	response	n/a	38713.0000000000	4	1	key_status_1	141.2000	aligned_by_order
155.5117187500	n/a	response	n/a	39811.0000000000	2	1	key_status_2	145.5000	aligned_by_order
268.4921875000	n/a	stimulus	n/a	68734.0000000000	128	2	MW_question	258.5000	stimulus_value_128_is_MW_prompt_in_EEG
272.1640625000	n/a	response	n/a	69674.0000000000	4	2	key_status_1	262.2000	aligned_by_order
276.4843750000	n/a	response	n/a	70780.0000000000	2	2	key_status_2	266.5000	aligned_by_order
424.0078125000	n/a	stimulus	n/a	108546.0000000000	128	3	MW_question	414.0000	stimulus_value_128_is_MW_prompt_in_EEG
428.3828125000	n/a	response	n/a	109666.0000000000	2	3	key_status_1	418.3000	aligned_by_order
435.4687500000	n/a	response	n/a	111480.0000000000	4	3	key_status_2	425.5000	aligned_by_order
439.0703125000	n/a	response	n/a	112402.0000000000	2	3	key_status_3	429.0000	aligned_by_order
488.0625000000	n/a	stimulus	n/a	124944.0000000000	128	4	MW_question	478.1000	stimulus_value_128_is_MW_prompt_in_EEG
492.7851562500	n/a	response	n/a	126153.0000000000	2	4	key_status_1	482.8000	aligned_by_order
496.4414062500	n/a	response	n/a	127089.0000000000	4	4	key_status_2	486.4000	aligned_by_order
500.9140625000	n/a	response	n/a	128234.0000000000	2	4	key_status_3	490.9000	aligned_by_order
536.9179687500	n/a	stimulus	n/a	137451.0000000000	128	5	MW_question	526.9000	stimulus_value_128_is_MW_prompt_in_EEG
545.7539062500	n/a	response	n/a	139713.0000000000	4	5	key_status_1	530.6000	txt_key0_present_in_eeg_rare
548.8789062500	n/a	response	n/a	140513.0000000000	4	5	key_status_2	535.7000	aligned_by_order
672.8867187500	n/a	stimulus	n/a	172259.0000000000	128	6	MW_question	662.9000	stimulus_value_128_is_MW_prompt_in_EEG
677.3085937500	n/a	response	n/a	173391.0000000000	4	6	key_status_1	667.3000	aligned_by_order
680.6132812500	n/a	response	n/a	174237.0000000000	2	6	key_status_2	670.6000	aligned_by_order
684.4375000000	n/a	response	n/a	175216.0000000000	2	6	key_status_3	674.4000	aligned_by_order
785.4453125000	n/a	stimulus	n/a	201074.0000000000	128	7	MW_question	775.4000	stimulus_value_128_is_MW_prompt_in_EEG
789.7421875000	n/a	response	n/a	202174.0000000000	8	7	key_status_1	779.7000	aligned_by_order
792.8398437500	n/a	response	n/a	202967.0000000000	2	7	key_status_2	782.8000	aligned_by_order
949.3046875000	n/a	stimulus	n/a	243022.0000000000	128	8	MW_question	939.3000	stimulus_value_128_is_MW_prompt_in_EEG
953.2539062500	n/a	response	n/a	244033.0000000000	8	8	key_status_1	943.2000	aligned_by_order
1070.2578125000	n/a	stimulus	n/a	273986.0000000000	128	9	MW_question	1060.2000	stimulus_value_128_is_MW_prompt_in_EEG
1073.0039062500	n/a	response	n/a	274689.0000000000	8	9	key_status_1	1062.9000	aligned_by_order
1075.4765625000	n/a	response	n/a	275322.0000000000	2	9	key_status_2	1065.4000	aligned_by_order
1145.2968750000	n/a	stimulus	n/a	293196.0000000000	128	10	MW_question	1135.3000	stimulus_value_128_is_MW_prompt_in_EEG
1148.8281250000	n/a	response	n/a	294100.0000000000	8	10	key_status_1	1138.7000	aligned_by_order
1153.3750000000	n/a	response	n/a	295264.0000000000	2	10	key_status_2	1143.3000	aligned_by_order
1173.9179687500	n/a	stimulus	n/a	300523.0000000000	128	11	MW_question	1163.9000	stimulus_value_128_is_MW_prompt_in_EEG
1177.4453125000	n/a	response	n/a	301426.0000000000	4	11	key_status_1	1167.4000	aligned_by_order
1181.4140625000	n/a	response	n/a	302442.0000000000	2	11	key_status_2	1171.3000	aligned_by_order
1185.5429687500	n/a	response	n/a	303499.0000000000	2	11	key_status_3	1175.5000	aligned_by_order
1322.5546875000	n/a	stimulus	n/a	338574.0000000000	128	12	MW_question	1312.5000	stimulus_value_128_is_MW_prompt_in_EEG
1325.1796875000	n/a	response	n/a	339246.0000000000	8	12	key_status_1	1315.1000	aligned_by_order
1328.6445312500	n/a	response	n/a	340133.0000000000	2	12	key_status_2	1318.5000	aligned_by_order
1426.2617187500	n/a	stimulus	n/a	365123.0000000000	128	13	MW_question	1416.2000	stimulus_value_128_is_MW_prompt_in_EEG
1429.6875000000	n/a	response	n/a	366000.0000000000	8	13	key_status_1	1419.6000	aligned_by_order
1484.9843750000	n/a	stimulus	n/a	380156.0000000000	128	14	MW_question	1474.9000	stimulus_value_128_is_MW_prompt_in_EEG
1489.0664062500	n/a	response	n/a	381201.0000000000	8	14	key_status_1	1479.0000	aligned_by_order
1493.3671875000	n/a	response	n/a	382302.0000000000	2	14	key_status_2	1483.3000	aligned_by_order
1591.1250000000	n/a	stimulus	n/a	407328.0000000000	128	15	MW_question	1581.1000	stimulus_value_128_is_MW_prompt_in_EEG
1594.9062500000	n/a	response	n/a	408296.0000000000	4	15	key_status_1	1584.8000	aligned_by_order
1598.9062500000	n/a	response	n/a	409320.0000000000	2	15	key_status_2	1588.8000	aligned_by_order
1601.3632812500	n/a	response	n/a	409949.0000000000	2	15	key_status_3	1591.3000	aligned_by_order
1626.3632812500	n/a	stimulus	n/a	416349.0000000000	128	16	MW_question	1616.3000	stimulus_value_128_is_MW_prompt_in_EEG
1630.3164062500	n/a	response	n/a	417361.0000000000	8	16	key_status_1	1620.2000	aligned_by_order
1632.7851562500	n/a	response	n/a	417993.0000000000	2	16	key_status_2	1622.7000	aligned_by_order
